date,temp,oxygen,NH3,TP,TN,algae,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
2021-06-02,26.1875,6.6665,0.025,0.068275,1.07325,14400000.0,无锡,阴-阵雨,26,21,24,1,东南风,4级,优
2021-06-03,25.881666666666664,6.6418333333333335,0.0251166666666666,0.0637833333333333,0.9151666666666666,10867091.666666666,无锡,阴-阵雨,26,19,66,2,西北风,3级,良
2021-06-04,25.895,7.946333333333333,0.025,0.0637833333333333,0.9203333333333332,25498423.33333333,无锡,阴-多云,26,18,51,2,西南风,3级,良
2021-06-05,26.85,9.084,0.025,0.04776,0.9058,21100000.0,无锡,晴,32,19,67,2,西南风,3级,良
2021-06-06,28.256666666666664,9.514333333333331,0.025,0.0440666666666666,0.9233333333333332,15211340.0,无锡,晴,33,19,80,2,南风,3级,良
2021-06-07,27.635,8.3865,0.025,0.0366499999999999,0.7778333333333333,7994458.333333333,无锡,阴-多云,35,21,68,2,东南风,3级,良
2021-06-08,28.19666666666667,8.397499999999999,0.025,0.0418666666666666,0.7323333333333334,12259158.333333334,无锡,阴-多云,30,24,36,1,东南风,3级,优
2021-06-09,28.751666666666665,8.309166666666668,0.025,0.0389833333333333,0.601,6891956.666666667,无锡,阴-雷阵雨,32,24,52,2,东南风,3级,良
2021-06-10,28.741666666666664,7.385833333333333,0.025,0.03785,0.5256666666666666,6301236.666666667,无锡,阴,28,24,38,1,东南风,2级,优
2021-06-11,29.491666666666664,7.6176666666666675,0.025,0.0327666666666666,0.4495,6244151.666666667,无锡,阴-多云,32,23,82,2,东风,2级,良
2021-06-12,29.58666666666667,7.271999999999999,0.025,0.02975,0.3741666666666667,4201731.666666667,无锡,多云-雷阵雨,33,24,41,1,东南风,3级,优
2021-06-13,29.563333333333333,6.929333333333333,0.025,0.0302833333333333,0.2663333333333333,4964940.0,无锡,阴-小雨,28,25,34,1,西南风,2级,优
2021-06-14,29.58833333333333,6.963166666666666,0.025,0.0290666666666666,0.1886666666666666,5394340.0,无锡,阴-小雨,31,25,46,1,东南风,3级,优
2021-06-15,30.21,7.23925,0.025,0.033425,0.396,6927237.5,无锡,阴-小雨,33,24,48,1,西南风,3级,优
2021-06-16,30.316666666666663,7.396833333333333,0.025,0.0366666666666666,0.4708333333333334,7246886.666666667,无锡,阴-雷阵雨,29,23,34,1,东北风,2级,优
2021-06-17,29.68166666666667,7.344333333333334,0.025,0.0371166666666666,0.284,15886050.0,无锡,小雨,26,24,41,1,东南风,2级,优
2021-06-18,29.25,7.118166666666667,0.025,0.0366333333333333,0.3673333333333333,10308856.666666666,无锡,阴-小雨,26,22,54,2,西北风,2级,良
2021-06-19,28.12,7.0735,0.025,0.03945,0.3245,10009560.0,无锡,小雨-阴,23,20,34,1,东南风,2级,优
2021-06-20,28.08833333333333,7.764,0.025,0.0370666666666666,0.2791666666666667,9510308.333333334,无锡,阴-多云,29,19,60,2,东南风,2级,良
2021-06-21,28.864,7.9612,0.025,0.03856,0.2372,4275402.0,无锡,多云-晴,31,21,68,2,东南风,2级,良
2021-06-22,28.945000000000004,7.616,0.025,0.0376166666666666,0.2125,4332831.666666667,无锡,晴-多云,32,20,69,2,东南风,3级,良
2021-06-23,29.618333333333336,7.1795,0.025,0.0500666666666666,0.2853333333333333,5355790.0,无锡,晴-多云,34,21,60,2,东南风,3级,良
2021-06-24,29.331666666666667,6.430499999999999,0.0429166666666666,0.0328333333333333,0.3835,3350468.333333333,无锡,多云,34,23,57,2,东南风,3级,良
2021-06-25,29.445000000000004,5.898666666666666,0.0606666666666666,0.0467499999999999,0.5461666666666667,3680046.6666666665,无锡,多云-雷阵雨,33,24,55,2,东南风,4级,良
2021-06-26,29.081666666666667,5.964666666666666,0.0256166666666666,0.0529666666666666,0.5076666666666667,6736078.333333333,无锡,阴-小雨,28,24,34,1,东南风,3级,优
2021-06-27,28.88,5.8435,0.0264666666666666,0.0449333333333333,0.2086666666666666,6435658.333333333,无锡,阴-小雨,26,23,45,1,东南风,2级,优
2021-06-28,29.488333333333333,6.214833333333334,0.025,0.0431833333333333,0.2086666666666666,8157960.0,无锡,阴-多云,30,23,36,1,东北风,3级,优
2021-06-29,30.48333333333333,6.8068333333333335,0.025,0.03875,0.2296666666666666,7588661.666666667,无锡,多云,31,24,55,2,东南风,2级,良
2021-06-30,30.48,6.517166666666667,0.025,0.04435,0.1845,6384998.333333333,无锡,阴-多云,31,24,48,1,东南风,3级,优
2021-07-01,30.526,6.515600000000001,0.025,0.04088,0.1938,5074814.0,无锡,阴-中雨,32,25,40,1,东南风,3级,优
2021-07-02,30.593333333333334,6.201666666666667,0.025,0.0416333333333333,0.2245,5213281.666666667,无锡,小雨-中雨,28,25,24,1,东南风,3级,优
2021-07-03,30.133333333333336,5.8998333333333335,0.025,0.05475,0.3946666666666667,5494685.0,无锡,阴-大雨,31,25,26,1,西南风,3级,优
2021-07-04,29.366666666666664,5.666333333333334,0.025,0.0480166666666666,0.4408333333333333,5989533.333333333,无锡,大雨-小雨,26,24,35,1,东北风,2级,优
2021-07-05,30.18166666666667,6.850833333333334,0.02545,0.0339333333333333,0.2323333333333333,5306421.666666667,无锡,阴-多云,34,27,62,2,东南风,2级,良
2021-07-06,30.636666666666667,7.580666666666667,0.0266333333333333,0.0274833333333333,0.339,5353123.333333333,无锡,阴-多云,36,27,43,1,东南风,2级,优
2021-07-07,32.00833333333333,7.635333333333333,0.0286,0.0276833333333333,0.3748333333333333,5391033.333333333,无锡,阴-小雨,36,27,41,1,西南风,3级,优
2021-07-08,31.51833333333333,6.863666666666667,0.0416666666666666,0.0411333333333333,0.4571666666666666,5031786.666666667,无锡,大雨-中雨,30,25,32,1,西南风,3级,优
2021-07-09,30.705,6.510666666666666,0.05335,0.0529166666666666,0.6643333333333333,5164421.666666667,无锡,阴-小雨,32,27,42,1,西南风,3级,优
2021-07-10,30.675,6.581333333333333,0.0732166666666666,0.0583333333333333,0.6878333333333333,5190820.0,无锡,多云,34,26,32,1,西南风,3级,优
2021-07-11,31.765,7.403,0.0881666666666666,0.044,0.7439999999999999,5510880.0,无锡,阴-多云,35,27,46,1,东南风,3级,优
2021-07-12,32.445,8.246166666666667,0.03705,0.0372666666666666,0.5981666666666667,8712965.0,无锡,多云,36,28,58,2,东南风,3级,良
2021-07-13,32.794999999999995,7.7835,0.0310666666666666,0.0348166666666666,0.6721666666666667,9304195.0,无锡,阴-多云,36,29,52,2,东南风,3级,良
2021-07-14,33.70166666666666,7.809,0.0289833333333333,0.0371333333333333,0.6093333333333333,9709125.0,无锡,阴-多云,37,30,60,2,东南风,3级,良
2021-07-15,33.751666666666665,6.634,0.0294166666666666,0.0362833333333333,0.5675,7265678.333333333,无锡,多云,38,29,61,2,东南风,3级,良
2021-07-16,33.27,6.302166666666667,0.03565,0.0432333333333333,0.5285,6607900.0,无锡,阴-多云,33,27,36,1,东南风,3级,优
2021-07-17,31.77,6.361666666666667,0.0594,0.05035,0.6375,4940010.0,无锡,阴-多云,33,27,29,1,东南风,3级,优
2021-07-18,30.97666666666667,6.722,0.0804166666666666,0.0525,0.6546666666666666,4913580.0,无锡,多云,33,26,34,1,东南风,3级,优
2021-07-19,30.93,7.029000000000001,0.06606,0.0694999999999999,0.6706,7656784.0,无锡,多云,34,27,32,1,东南风,3级,优
2021-07-20,31.385,7.727166666666666,0.0302,0.0729666666666666,0.7391666666666666,13350000.0,无锡,阴-多云,34,27,31,1,东南风,4级,优
2021-07-21,31.436666666666667,7.415333333333333,0.0300833333333333,0.07245,0.6656666666666666,12566795.0,无锡,多云,33,26,29,1,东风,3级,优
2021-07-22,30.97833333333333,7.799333333333333,0.0274166666666666,0.0651,0.6038333333333333,12450000.0,无锡,阴-多云,32,27,31,1,东北风,4级,优
2021-07-23,30.843333333333334,7.375666666666667,0.0255666666666666,0.06615,0.6221666666666666,9325931.666666666,无锡,阴-小雨,34,26,28,1,东北风,4级,优
2021-07-24,30.21,6.908833333333333,0.0264666666666666,0.0631999999999999,0.596,7080263.333333333,无锡,小雨-中雨,30,26,26,1,东北风,4级,优
2021-07-25,29.6,6.877,0.0359,0.0658,0.559,6218130.0,无锡,大雨,27,25,15,1,东北风,5级,优
2021-07-26,28.61,6.962999999999999,0.03045,0.1484,0.6485000000000001,12392398.333333334,无锡,中雨-大雨,27,25,16,1,东北风,5级,优
2021-07-27,27.62,7.049,0.025,0.231,0.738,18566666.666666668,无锡,中雨-大雨,27,26,16,1,东南风,5级,优
2021-07-28,27.87,7.114333333333334,0.025,0.1960833333333333,0.5181666666666667,10062308.333333334,无锡,小雨-多云,31,26,29,1,东南风,5级,优
2021-07-29,29.525,7.290666666666667,0.0250333333333333,0.11064,0.5556666666666666,21616898.33333333,无锡,多云,33,26,36,1,西南风,3级,优
2021-07-30,31.098000000000003,7.6108,0.03188,0.0671799999999999,0.783,4986012.0,无锡,多云,34,26,64,2,西风,2级,良
2021-07-31,31.145,7.908,0.0275666666666666,0.06365,0.8698333333333333,7299610.0,无锡,阴-多云,33,27,41,1,东南风,2级,优
2021-08-01,31.90833333333333,8.816833333333333,0.025,0.05695,0.89,8356603.333333333,无锡,阴-多云,33,27,61,2,东北风,2级,良
2021-08-02,31.71333333333333,9.3535,0.025,0.0442666666666666,0.7568333333333334,11256166.666666666,无锡,阴-多云,34,27,41,1,东风,3级,优
2021-08-03,31.05666666666667,7.554666666666667,0.02515,0.0381,0.7656666666666667,8651235.0,无锡,阴-多云,33,27,28,1,东北风,3级,优
2021-08-04,31.40833333333333,7.018833333333333,0.0368,0.0394666666666666,0.7515000000000001,7171341.666666667,无锡,多云,33,27,32,1,东风,3级,优
2021-08-05,31.46166666666667,7.020166666666667,0.0387,0.0483333333333333,0.6995,7412246.666666667,无锡,阴-多云,33,26,30,1,东南风,3级,优
2021-08-06,31.613333333333333,7.301833333333334,0.0360166666666666,0.0516666666666666,0.7216666666666667,7075273.333333333,无锡,多云,33,26,31,1,东南风,3级,优
2021-08-07,31.96333333333333,7.596833333333333,0.0327333333333333,0.0635166666666666,1.1931666666666667,10180620.0,无锡,阴-多云,33,26,31,1,东北风,3级,优
2021-08-08,32.39833333333333,9.537333333333336,0.0271833333333333,0.0604166666666666,1.1406666666666667,15172753.333333334,无锡,多云,33,25,36,1,东北风,2级,优
2021-08-09,32.32333333333333,9.947166666666666,0.025,0.0535166666666666,1.026166666666667,23150000.0,无锡,多云,34,26,66,2,东南风,2级,良
2021-08-10,32.01833333333334,8.630666666666666,0.0252499999999999,0.0473,0.916,14400000.0,无锡,阴-小雨,34,26,59,2,东南风,2级,良
2021-08-11,31.352,7.704000000000001,0.02502,0.04586,0.9112,24020000.0,无锡,小雨-中雨,29,25,37,1,东南风,2级,优
2021-08-12,30.868333333333336,7.657,0.0302999999999999,0.0422833333333333,0.8451666666666666,16740798.333333334,无锡,阴-小雨,29,25,38,1,东北风,3级,优
2021-08-13,30.371666666666663,7.089666666666666,0.03295,0.04805,0.9703333333333334,12145908.333333334,无锡,阴-中雨,29,24,41,1,东北风,3级,优
2021-08-14,29.30666666666667,7.5705,0.0368166666666666,0.0593,1.0088333333333332,27300000.0,无锡,阴-中雨,25,23,36,1,东北风,3级,优
2021-08-15,28.56,7.47,0.0336166666666666,0.0583333333333333,0.992,100040000.0,无锡,中雨-小雨,26,23,30,1,东北风,2级,优
2021-08-16,28.201666666666668,7.397166666666666,0.0662,0.0376166666666666,0.4506666666666667,59345000.0,无锡,阴-小雨,26,23,33,1,北风,2级,优
2021-08-17,29.171666666666667,10.217,0.0323166666666666,0.0438999999999999,0.4661666666666667,18650000.0,无锡,多云,31,23,37,1,东北风,2级,优
2021-08-18,29.97,9.658,0.0251,0.0363999999999999,0.4978333333333333,22962746.666666668,无锡,阴-多云,31,23,57,2,东南风,1级,良
2021-08-19,29.651666666666667,9.491666666666667,0.025,0.0510666666666666,0.6818333333333334,67536456.66666667,无锡,阴-多云,31,25,74,2,东南风,2级,良
2021-08-20,29.981666666666666,7.294666666666667,0.025,0.0295333333333333,0.3505,4760401.666666667,无锡,阴-中雨,32,26,74,2,东南风,3级,良
2021-08-21,30.33833333333333,7.267500000000001,0.025,0.0268333333333333,0.3206666666666666,6430066.666666667,无锡,阴-多云,31,25,42,1,西北风,3级,优
2021-08-22,31.01833333333333,7.162333333333334,0.025,0.0249999999999999,0.3481666666666667,5007475.0,无锡,多云,33,26,66,2,东南风,2级,良
2021-08-23,31.246666666666663,6.881,0.02505,0.0233333333333333,0.2833333333333333,5663441.666666667,无锡,阴-小雨,34,27,42,1,东南风,3级,优
2021-08-24,30.926666666666662,6.635000000000001,0.02655,0.0264,0.2408333333333333,4622188.333333333,无锡,阴-中雨,28,26,34,1,西北风,3级,优
2021-08-25,31.07,7.1815,0.0288166666666666,0.0352833333333333,0.4905,7415223.333333333,无锡,多云,31,25,50,1,西风,2级,优
2021-08-26,31.646666666666665,7.895833333333333,0.0257666666666666,0.0342833333333333,0.5273333333333333,8921303.333333334,无锡,阴-小雨,34,26,91,2,东南风,1级,良
2021-08-27,30.883333333333336,6.930666666666667,0.0277666666666666,0.0308333333333333,0.3608333333333333,6039733.333333333,无锡,阴-中雨,30,26,52,2,西北风,2级,良
2021-08-28,31.485,7.0315,0.0263166666666666,0.0248333333333333,0.2395,4880190.0,无锡,阴-多云,32,26,77,2,西北风,2级,良
2021-08-29,32.18833333333333,6.925999999999999,0.025,0.0234333333333333,0.2921666666666667,4713805.0,无锡,阴-多云,34,26,82,2,东北风,2级,良
2021-08-30,32.166666666666664,6.634333333333333,0.0260333333333333,0.0237333333333333,0.2436666666666666,3728648.3333333335,无锡,多云,35,26,56,2,东南风,2级,良
2021-08-31,32.052,6.42,0.0274799999999999,0.02634,0.1316,4060122.0,无锡,多云,35,27,54,2,东南风,2级,良
2021-09-01,32.80166666666667,6.4985,0.025,0.0230833333333333,0.1655,3859690.0,无锡,多云-小雨,35,26,52,2,东北风,2级,良
2021-09-02,32.34666666666667,6.5183333333333335,0.025,0.0216999999999999,0.2776666666666667,3863608.0,无锡,多云,30,24,46,1,北风,2级,优
2021-09-03,32.07833333333333,6.508333333333333,0.0266666666666666,0.0223,0.3378333333333334,3404616.6666666665,无锡,多云,30,25,40,1,东北风,2级,优
2021-09-04,31.468333333333334,6.7405,0.025,0.0258999999999999,0.2595,4872111.666666667,无锡,雾-多云,31,27,32,1,东南风,3级,优
2021-09-05,31.40333333333333,6.926666666666667,0.0260666666666666,0.0304666666666666,0.3893333333333333,4417515.0,无锡,多云,33,26,59,2,南风,2级,良
