date,temp,oxygen,NH3,TP,TN,algae
2021/6/2 8:00,26.15,6.67,0.025,0.0658,1.141,1.42E+07
2021/6/2 12:00,26.43,6.668,0.025,0.0609,0.967,1.06E+07
2021/6/2 16:00,26.1,6.78,0.025,0.0767,1.23,1.85E+07
2021/6/2 20:00,26.07,6.548,0.025,0.0697,0.955,1.43E+07
2021/6/3 0:00,25.78,6.343,0.025,0.073,1.144,1.57E+07
2021/6/3 4:00,25.7,6.163,0.025,0.0537,0.83,1.05E+07
2021/6/3 8:00,25.73,6.29,0.0255,0.0466,0.729,3774330
2021/6/3 12:00,26.82,8.186,0.0252,0.0438,0.629,4228220
2021/6/3 16:00,25.75,6.482,0.025,0.0817,1.029,1.76E+07
2021/6/3 20:00,25.51,6.387,0.025,0.0839,1.13,1.34E+07
2021/6/4 0:00,25.19,6.255,0.025,0.0852,0.997,2.12E+07
2021/6/4 4:00,25.07,5.934,0.025,0.0806,1.245,3.73E+07
2021/6/4 8:00,24.98,6.305,0.025,0.0636,0.771,1.45E+07
2021/6/4 12:00,26.98,9.968,0.025,0.0543,0.681,4.30E+07
2021/6/4 16:00,27.14,10.873,0.025,0.0496,0.747,2.75E+07
2021/6/4 20:00,26.01,8.343,0.025,0.0494,1.081,9490540
2021/6/5 4:00,25.72,7.538,0.025,0.049,0.829,1.05E+07
2021/6/5 8:00,25.57,7.583,0.025,0.0528,1.024,1.68E+07
2021/6/5 12:00,27.14,9.676,0.025,0.0514,0.754,4.35E+07
2021/6/5 16:00,28.32,11.198,0.025,0.0415,0.972,2.45E+07
2021/6/5 20:00,27.5,9.425,0.025,0.0441,0.95,1.02E+07
2021/6/6 0:00,26.59,8.005,0.025,0.0441,1.022,1.20E+07
2021/6/6 4:00,26.44,7.948,0.025,0.0533,0.892,1.48E+07
2021/6/6 8:00,26.69,8.702,0.025,0.0499,1.035,3.28E+07
2021/6/6 12:00,28.52,10.535,0.025,0.0376,0.884,1.73E+07
2021/6/6 16:00,31.82,11.215,0.025,0.0428,0.864,4068040
2021/6/6 20:00,29.48,10.681,0.025,0.0367,0.843,1.03E+07
2021/6/7 0:00,27.35,8.366,0.025,0.0367,0.843,9618320
2021/6/7 4:00,26.99,7.949,0.025,0.0425,0.838,8874180
2021/6/7 8:00,26.96,7.928,0.025,0.0342,0.819,8043700
2021/6/7 12:00,28.11,8.695,0.025,0.0304,0.706,9511890
2021/6/7 16:00,28.33,8.95,0.025,0.0355,0.724,5335960
2021/6/7 20:00,28.07,8.431,0.025,0.0406,0.737,6582700
2021/6/8 0:00,27.79,7.972,0.025,0.0417,0.829,7172090
