time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
2021-01-01 00:00:00,宜兴,雨夹雪-晴,4,-4,60,2,西南风,2级,良
2021-01-02 00:00:00,宜兴,多云-晴,7,-2,89,2,东南风,2级,良
2021-01-03 00:00:00,宜兴,晴,9,4,93,2,东南风,3级,良
2021-01-04 00:00:00,宜兴,阴-小雨,11,4,67,2,东风,2级,良
2021-01-05 00:00:00,宜兴,阴,8,0,77,2,东北风,3级,良
2021-01-06 00:00:00,宜兴,阴-多云,3,-7,67,2,北风,2级,良
2021-01-07 00:00:00,宜兴,阴-多云,-3,-7,60,2,西北风,4级,良
2021-01-08 00:00:00,宜兴,多云,0,-7,58,2,西北风,3级,良
2021-01-09 00:00:00,宜兴,晴,4,-5,64,2,西风,2级,良
2021-01-10 00:00:00,宜兴,多云,6,-3,86,2,西北风,2级,良
2021-01-11 00:00:00,宜兴,小雨-晴,6,-3,87,2,西风,3级,良
2021-01-12 00:00:00,宜兴,晴,11,0,83,2,西南风,3级,良
2021-01-13 00:00:00,宜兴,多云,15,2,79,2,西南风,2级,良
2021-01-14 00:00:00,宜兴,阴-晴,13,2,101,3,东南风,2级,轻度
2021-01-15 00:00:00,宜兴,晴-阴,18,1,134,3,西北风,微风,轻度
2021-01-16 00:00:00,宜兴,阴-多云,6,-1,70,2,东北风,3级,良
2021-01-17 00:00:00,宜兴,多云-晴,7,-2,75,2,西北风,2级,良
2021-01-18 00:00:00,宜兴,晴,11,0,89,2,西南风,2级,良
2021-01-19 00:00:00,宜兴,晴,10,4,105,3,东南风,3级,轻度
2021-01-20 00:00:00,宜兴,晴-小雨,14,10,60,2,东南风,3级,良
2021-01-21 00:00:00,宜兴,小雨,13,8,111,3,西北风,2级,轻度
2021-01-22 00:00:00,宜兴,中雨,10,6,106,3,东北风,2级,轻度
2021-01-23 00:00:00,宜兴,小雨-多云,7,2,86,2,北风,2级,良
2021-01-24 00:00:00,宜兴,多云-阴,6,5,137,3,东风,2级,轻度
2021-01-25 00:00:00,宜兴,小雨,10,8,81,2,东南风,2级,良
2021-01-26 00:00:00,宜兴,阴,6,3,85,2,西风,3级,良
2021-01-27 00:00:00,宜兴,阴-多云,8,5,104,3,东风,2级,轻度
2021-01-28 00:00:00,宜兴,多云-晴,11,-3,112,3,西北风,3级,轻度
2021-01-29 00:00:00,宜兴,晴,8,1,72,2,东南风,微风,良
2021-01-30 00:00:00,宜兴,多云,11,8,78,2,东南风,2级,良
2021-01-31 00:00:00,宜兴,阴-小雨,15,8,90,2,西南风,1级,良
2021-02-01 00:00:00,宜兴,小雨-多云,9,2,101,3,西风,2级,轻度
2021-02-02 00:00:00,宜兴,晴-多云,7,3,101,3,东风,2级,轻度
2021-02-03 00:00:00,宜兴,多云-晴,13,5,95,2,东南风,微风,良
2021-02-04 00:00:00,宜兴,晴-小雨,11,6,106,3,东风,2级,轻度
2021-02-05 00:00:00,宜兴,小雨-晴,9,5,91,2,东南风,2级,良
2021-02-06 00:00:00,宜兴,晴,16,4,80,2,西南风,2级,良
2021-02-07 00:00:00,宜兴,多云-阵雨,17,5,97,2,东北风,2级,良
2021-02-08 00:00:00,宜兴,小雨-多云,9,1,36,1,东北风,3级,优
2021-02-09 00:00:00,宜兴,多云-晴,10,5,35,1,东南风,3级,优
2021-02-10 00:00:00,宜兴,阴-小雨,10,7,43,1,东南风,微风,优
2021-02-11 00:00:00,宜兴,中雨-阴,10,7,57,2,东南风,3级,良
2021-02-12 00:00:00,宜兴,阴,12,8,58,2,东南风,3级,良
2021-02-13 00:00:00,宜兴,阴-多云,16,9,59,2,东南风,3级,良
2021-02-14 00:00:00,宜兴,小雨-晴,20,8,62,2,西南风,3级,良
2021-02-15 00:00:00,宜兴,阴,13,4,79,2,东北风,2级,良
2021-02-16 00:00:00,宜兴,阴-晴,15,1,55,2,东北风,2级,良
2021-02-17 00:00:00,宜兴,晴,8,-3,40,1,东北风,微风,优
2021-02-18 00:00:00,宜兴,晴,11,1,45,1,西北风,2级,优
2021-02-19 00:00:00,宜兴,晴,17,9,52,2,西南风,2级,良
2021-02-20 00:00:00,宜兴,晴,25,9,46,1,西南风,3级,优
2021-02-21 00:00:00,宜兴,小雨-晴,26,14,43,1,西南风,2级,优
2021-02-22 00:00:00,宜兴,阴-晴,25,6,73,2,东北风,3级,良
2021-02-23 00:00:00,宜兴,阴-多云,13,6,48,1,东风,4级,优
2021-02-24 00:00:00,宜兴,多云-小雨,14,9,48,1,东南风,4级,优
2021-02-25 00:00:00,宜兴,中雨-小雨,12,8,46,1,东北风,3级,优
2021-02-26 00:00:00,宜兴,中雨-小雨,8,7,36,1,东北风,3级,优
2021-02-27 00:00:00,宜兴,小雨,12,9,54,2,东风,3级,良
2021-02-28 00:00:00,宜兴,阴-小雨,13,11,54,2,东南风,3级,良
2021-03-01 00:00:00,宜兴,中雨-阵雨,12,3,54,2,西北风,3级,良
2021-03-02 00:00:00,宜兴,小雨-晴,12,4,44,1,北风,2级,优
2021-03-03 00:00:00,宜兴,多云-小雨,11,7,56,2,东南风,3级,良
2021-03-04 00:00:00,宜兴,阴-多云,17,6,67,2,西风,2级,良
2021-03-05 00:00:00,宜兴,阴-小雨,12,9,118,3,东南风,3级,轻度
2021-03-06 00:00:00,宜兴,小雨,10,5,57,2,东北风,3级,良
2021-03-07 00:00:00,宜兴,小雨-阴,7,5,55,2,北风,2级,良
2021-03-08 00:00:00,宜兴,阴-小雨,12,8,95,2,东风,2级,良
2021-03-09 00:00:00,宜兴,小雨-多云,10,6,77,2,东风,2级,良
2021-03-10 00:00:00,宜兴,晴-小雨,15,9,74,2,东南风,3级,良
2021-03-11 00:00:00,宜兴,小雨-阴,11,9,90,2,东南风,微风,良
2021-03-12 00:00:00,宜兴,阴,13,5,68,2,西北风,2级,良
2021-03-13 00:00:00,宜兴,阴-晴,15,7,96,2,东南风,2级,良
2021-03-14 00:00:00,宜兴,多云,17,11,123,3,东南风,3级,轻度
2021-03-15 00:00:00,宜兴,小雨-中雨,19,11,131,3,东南风,2级,轻度
2021-03-16 00:00:00,宜兴,阴-小雨,13,8,101,3,东北风,3级,轻度
2021-03-17 00:00:00,宜兴,小雨-阴,10,9,71,2,东风,3级,良
2021-03-18 00:00:00,宜兴,阴-小雨,13,11,62,2,东风,2级,良
2021-03-19 00:00:00,宜兴,小雨,12,9,71,2,东北风,2级,良
2021-03-20 00:00:00,宜兴,小雨-阴,10,8,59,2,西北风,2级,良
2021-03-21 00:00:00,宜兴,多云,14,3,104,3,西北风,3级,轻度
2021-03-22 00:00:00,宜兴,晴,16,7,49,1,西北风,2级,优
2021-03-23 00:00:00,宜兴,阴-多云,18,9,72,2,东南风,微风,良
2021-03-24 00:00:00,宜兴,阴-晴,19,9,70,2,西风,微风,良
2021-03-25 00:00:00,宜兴,晴,22,10,84,2,东南风,2级,良
2021-03-26 00:00:00,宜兴,多云-小雨,23,15,60,2,东南风,3级,良
2021-03-27 00:00:00,宜兴,阴,19,11,57,2,西南风,2级,良
2021-03-28 00:00:00,宜兴,阴-晴,24,13,73,2,西南风,2级,良
2021-03-29 00:00:00,宜兴,多云-阴,25,15,104,3,东南风,微风,轻度
2021-03-30 00:00:00,宜兴,扬沙-中雨,19,13,147,3,东风,3级,轻度
2021-03-31 00:00:00,宜兴,小雨-阵雨,15,14,131,3,东风,3级,轻度
2021-04-01 00:00:00,宜兴,小雨,15,14,57,2,东北风,2级,良
2021-04-02 00:00:00,宜兴,阴-多云,18,14,79,2,西北风,2级,良
2021-04-03 00:00:00,宜兴,小雨-多云,16,10,50,1,西北风,3级,优
2021-04-04 00:00:00,宜兴,晴,18,6,41,1,北风,3级,优
2021-04-05 00:00:00,宜兴,多云-阴,18,10,50,1,东北风,2级,优
2021-04-06 00:00:00,宜兴,多云,20,11,60,2,东南风,2级,良
2021-04-07 00:00:00,宜兴,阴-小雨,16,11,49,1,东南风,2级,优
2021-04-08 00:00:00,宜兴,阴-晴,19,7,54,2,东风,2级,良
2021-04-09 00:00:00,宜兴,晴,20,8,60,2,东风,2级,良
2021-04-10 00:00:00,宜兴,多云-小雨,20,13,54,2,东南风,3级,良
2021-04-11 00:00:00,宜兴,小雨,17,15,58,2,东南风,3级,良
2021-04-12 00:00:00,宜兴,小雨-晴,16,14,75,2,西风,2级,良
2021-04-13 00:00:00,宜兴,多云,21,11,93,2,东北风,3级,良
2021-04-14 00:00:00,宜兴,阴-多云,14,10,44,1,东风,3级,优
2021-04-15 00:00:00,宜兴,阴-晴,18,11,45,1,东南风,3级,优
2021-04-16 00:00:00,宜兴,阴-晴,24,12,119,3,西北风,微风,轻度
2021-04-17 00:00:00,宜兴,阴,21,9,128,3,西北风,微风,轻度
2021-04-18 00:00:00,宜兴,阴-晴,19,11,59,2,东南风,2级,良
2021-04-19 00:00:00,宜兴,晴-多云,23,12,71,2,东南风,3级,良
2021-04-20 00:00:00,宜兴,阴-多云,21,16,57,2,东南风,3级,良
2021-04-21 00:00:00,宜兴,小雨,23,17,55,2,东南风,3级,良
2021-04-22 00:00:00,宜兴,中雨-阴,18,16,61,2,东南风,2级,良
2021-04-23 00:00:00,宜兴,阴,22,17,85,2,西北风,2级,良
2021-04-24 00:00:00,宜兴,阴-阵雨,17,16,87,2,东北风,2级,良
2021-04-25 00:00:00,宜兴,阴,21,15,66,2,东风,2级,良
2021-04-26 00:00:00,宜兴,多云-小雨,24,17,49,1,东南风,微风,优
2021-04-27 00:00:00,宜兴,中雨-晴,18,14,70,2,东南风,1级,良
2021-04-28 00:00:00,宜兴,多云,23,14,119,3,西北风,微风,轻度
2021-04-29 00:00:00,宜兴,晴,24,18,74,2,西南风,微风,良
2021-04-30 00:00:00,宜兴,多云-雷阵雨,34,16,68,2,西南风,3级,良
2021-05-01 00:00:00,宜兴,晴,27,15,54,2,西北风,2级,良
2021-05-02 00:00:00,宜兴,晴-多云,23,15,46,1,东风,3级,优
2021-05-03 00:00:00,宜兴,阴-中雨,26,20,60,2,东南风,4级,良
2021-05-04 00:00:00,宜兴,小雨-多云,21,14,47,1,西风,3级,优
2021-05-05 00:00:00,宜兴,多云,25,15,79,2,东南风,2级,良
2021-05-06 00:00:00,宜兴,阴-小雨,24,18,57,2,东南风,2级,良
2021-05-07 00:00:00,宜兴,多云,28,17,75,2,西北风,3级,良
2021-05-08 00:00:00,宜兴,阴-晴,33,20,165,4,西南风,2级,中度
2021-05-09 00:00:00,宜兴,晴,32,21,85,2,东南风,2级,良
2021-05-10 00:00:00,宜兴,阴-雷阵雨,33,23,77,2,东南风,2级,良
2021-05-11 00:00:00,宜兴,小雨,23,19,65,2,北风,2级,良
2021-05-12 00:00:00,宜兴,中雨-阵雨,21,19,70,2,东北风,2级,良
2021-05-13 00:00:00,宜兴,阴-雷阵雨,22,20,67,2,东南风,3级,良
2021-05-14 00:00:00,宜兴,小雨-雷阵雨,28,24,54,2,东南风,2级,良
2021-05-15 00:00:00,宜兴,阴-小雨,32,24,35,1,西南风,2级,优
2021-05-16 00:00:00,宜兴,小雨,27,16,26,1,西风,3级,优
2021-05-17 00:00:00,宜兴,多云,24,16,60,2,西北风,2级,良
2021-05-18 00:00:00,宜兴,阴-多云,24,17,68,2,东南风,2级,良
2021-05-19 00:00:00,宜兴,小雨,20,17,49,1,东南风,3级,优
2021-05-20 00:00:00,宜兴,阴,19,15,45,1,西北风,2级,优
2021-05-21 00:00:00,宜兴,多云,24,19,85,2,东南风,3级,良
2021-05-22 00:00:00,宜兴,多云-小雨,25,18,69,2,东南风,3级,良
2021-05-23 00:00:00,宜兴,大雨-小雨,20,17,32,1,东南风,2级,优
2021-05-24 00:00:00,宜兴,多云,28,20,75,2,西风,2级,良
2021-05-25 00:00:00,宜兴,多云-小雨,32,19,97,2,西南风,2级,良
2021-05-26 00:00:00,宜兴,暴雨-多云,20,19,64,2,东北风,2级,良
2021-05-27 00:00:00,宜兴,多云,29,22,45,1,西南风,2级,优
2021-05-28 00:00:00,宜兴,阴-多云,28,20,53,2,西风,3级,良
2021-05-29 00:00:00,宜兴,阴-多云,29,20,64,2,南风,2级,良
2021-05-30 00:00:00,宜兴,多云-阴,31,21,74,2,东南风,2级,良
2021-05-31 00:00:00,宜兴,多云-晴,29,22,68,2,东南风,3级,良
2021-06-01 00:00:00,宜兴,多云-阵雨,28,22,35,1,东南风,4级,优
2021-06-02 00:00:00,宜兴,小雨-阵雨,26,22,31,1,东南风,3级,优
2021-06-03 00:00:00,宜兴,阴-阵雨,26,19,61,2,西北风,3级,良
2021-06-04 00:00:00,宜兴,阴-多云,28,18,57,2,西南风,2级,良
2021-06-05 00:00:00,宜兴,晴,31,19,72,2,西南风,2级,良
2021-06-06 00:00:00,宜兴,晴,32,20,97,2,东南风,2级,良
2021-06-07 00:00:00,宜兴,阴-多云,32,22,79,2,东南风,3级,良
2021-06-08 00:00:00,宜兴,阴-多云,29,25,48,1,东南风,3级,优
2021-06-09 00:00:00,宜兴,阴-雷阵雨,30,24,72,2,东南风,3级,良
2021-06-10 00:00:00,宜兴,阴,28,24,38,1,东南风,2级,优
2021-06-11 00:00:00,宜兴,多云,32,23,90,2,东南风,2级,良
2021-06-12 00:00:00,宜兴,多云-雷阵雨,30,24,60,2,东南风,3级,良
2021-06-13 00:00:00,宜兴,阴-中雨,27,24,44,1,南风,1级,优
2021-06-14 00:00:00,宜兴,阴-小雨,30,26,40,1,东南风,2级,优
2021-06-15 00:00:00,宜兴,阴-小雨,35,23,39,1,西风,3级,优
2021-06-16 00:00:00,宜兴,阴-雷阵雨,28,23,36,1,东北风,2级,优
2021-06-17 00:00:00,宜兴,暴雨-小雨,28,24,48,1,东风,2级,优
2021-06-18 00:00:00,宜兴,阴-小雨,26,22,37,1,西北风,2级,优
2021-06-19 00:00:00,宜兴,中雨-阴,21,20,43,1,东南风,2级,优
2021-06-20 00:00:00,宜兴,阴-多云,26,19,67,2,东南风,2级,良
2021-06-21 00:00:00,宜兴,多云-晴,30,22,80,2,东南风,2级,良
2021-06-22 00:00:00,宜兴,多云,31,21,83,2,东南风,3级,良
2021-06-23 00:00:00,宜兴,多云,32,22,74,2,东南风,3级,良
2021-06-24 00:00:00,宜兴,晴-多云,31,24,67,2,东南风,3级,良
2021-06-25 00:00:00,宜兴,阴-雷阵雨,31,24,57,2,东南风,3级,良
2021-06-26 00:00:00,宜兴,阴-小雨,27,24,45,1,东南风,3级,优
2021-06-27 00:00:00,宜兴,小雨,27,24,41,1,东南风,1级,优
2021-06-28 00:00:00,宜兴,阴-多云,30,24,44,1,东北风,2级,优
2021-06-29 00:00:00,宜兴,多云,31,25,58,2,东南风,3级,良
2021-06-30 00:00:00,宜兴,阴-多云,30,24,52,2,东南风,3级,良
2021-07-01 00:00:00,宜兴,阴-中雨,31,25,40,1,东南风,3级,优
2021-07-02 00:00:00,宜兴,中雨,27,25,32,1,东南风,2级,优
2021-07-03 00:00:00,宜兴,阴-大雨,31,25,27,1,西南风,3级,优
2021-07-04 00:00:00,宜兴,大雨-小雨,26,24,39,1,东北风,2级,优
2021-07-05 00:00:00,宜兴,阴-多云,31,27,62,2,南风,2级,良
2021-07-06 00:00:00,宜兴,阴-多云,34,27,49,1,东风,1级,优
2021-07-07 00:00:00,宜兴,阴-小雨,37,27,44,1,西南风,2级,优
2021-07-08 00:00:00,宜兴,大雨-小雨,30,25,34,1,西南风,2级,优
2021-07-09 00:00:00,宜兴,小雨,31,27,28,1,西南风,2级,优
2021-07-10 00:00:00,宜兴,阴-多云,32,27,31,1,西南风,2级,优
2021-07-11 00:00:00,宜兴,阴-多云,34,28,51,2,东南风,2级,良
2021-07-12 00:00:00,宜兴,多云,37,28,62,2,南风,2级,良
2021-07-13 00:00:00,宜兴,阴-多云,36,29,44,1,南风,2级,优
2021-07-14 00:00:00,宜兴,多云,37,28,66,2,东南风,2级,良
2021-07-15 00:00:00,宜兴,多云,35,29,52,2,东南风,3级,良
2021-07-16 00:00:00,宜兴,阴-多云,32,27,38,1,东南风,3级,优
2021-07-17 00:00:00,宜兴,阴-多云,30,27,34,1,东南风,3级,优
2021-07-18 00:00:00,宜兴,多云,32,26,36,1,东南风,3级,优
2021-07-19 00:00:00,宜兴,多云,32,26,36,1,东南风,3级,优
2021-07-20 00:00:00,宜兴,阴-多云,33,27,27,1,东南风,4级,优
2021-07-21 00:00:00,宜兴,多云,33,26,32,1,东南风,3级,优
2021-07-22 00:00:00,宜兴,阴-多云,33,26,34,1,东风,3级,优
2021-07-23 00:00:00,宜兴,阴-小雨,33,26,29,1,东北风,3级,优
2021-07-24 00:00:00,宜兴,中雨,29,26,28,1,东北风,4级,优
2021-07-25 00:00:00,宜兴,中雨-大雨,27,25,17,1,北风,5级,优
2021-07-26 00:00:00,宜兴,中雨-大雨,27,25,15,1,东北风,5级,优
2021-07-27 00:00:00,宜兴,大雨,28,26,19,1,东南风,4级,优
2021-07-28 00:00:00,宜兴,阴-多云,31,26,30,1,东南风,4级,优
2021-07-29 00:00:00,宜兴,多云,34,26,31,1,西风,3级,优
2021-07-30 00:00:00,宜兴,阴-多云,33,26,45,1,西南风,2级,优
2021-07-31 00:00:00,宜兴,多云,33,27,41,1,东南风,1级,优
