time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo
2021-01-01 00:00:00,无锡,晴,5,-4,56,2,西风,2级,良
2021-01-02 00:00:00,无锡,多云-晴,7,-2,71,2,东北风,2级,良
2021-01-03 00:00:00,无锡,雾-多云,11,3,77,2,东风,3级,良
2021-01-04 00:00:00,无锡,阴-小雨,11,5,54,2,东风,3级,良
2021-01-05 00:00:00,无锡,阴,8,0,62,2,东北风,3级,良
2021-01-06 00:00:00,无锡,阴-多云,4,-7,58,2,北风,3级,良
2021-01-07 00:00:00,无锡,阴-多云,-4,-7,73,2,西北风,4级,良
2021-01-08 00:00:00,无锡,多云-晴,0,-7,52,2,西北风,3级,良
2021-01-09 00:00:00,无锡,晴,4,-5,59,2,西北风,3级,良
2021-01-10 00:00:00,无锡,阴-多云,5,-3,75,2,西北风,2级,良
2021-01-11 00:00:00,无锡,阴-晴,6,-3,79,2,西北风,3级,良
2021-01-12 00:00:00,无锡,晴,10,0,85,2,西南风,3级,良
2021-01-13 00:00:00,无锡,晴-多云,16,2,70,2,西南风,微风,良
2021-01-14 00:00:00,无锡,多云-晴,17,2,89,2,东南风,2级,良
2021-01-15 00:00:00,无锡,晴-阴,18,1,105,3,西北风,3级,轻度
2021-01-16 00:00:00,无锡,阴-多云,5,-1,81,2,东北风,3级,良
2021-01-17 00:00:00,无锡,多云-晴,6,-2,67,2,西北风,2级,良
2021-01-18 00:00:00,无锡,晴,10,0,86,2,西南风,2级,良
2021-01-19 00:00:00,无锡,晴,12,3,86,2,东南风,3级,良
2021-01-20 00:00:00,无锡,多云-小雨,17,9,54,2,东南风,3级,良
2021-01-21 00:00:00,无锡,小雨,14,8,67,2,北风,2级,良
2021-01-22 00:00:00,无锡,中雨,10,6,79,2,东北风,微风,良
2021-01-23 00:00:00,无锡,小雨-多云,7,1,72,2,北风,3级,良
2021-01-24 00:00:00,无锡,多云-阴,8,6,109,3,东北风,2级,轻度
2021-01-25 00:00:00,无锡,阴-小雨,13,8,60,2,东南风,2级,良
2021-01-26 00:00:00,无锡,小雨-多云,7,3,56,2,西北风,3级,良
2021-01-27 00:00:00,无锡,多云,10,4,77,2,东北风,2级,良
2021-01-28 00:00:00,无锡,晴,10,-3,103,3,西北风,3级,轻度
2021-01-29 00:00:00,无锡,晴,9,0,72,2,东南风,3级,良
2021-01-30 00:00:00,无锡,晴-多云,14,7,71,2,东南风,微风,良
