date,time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,20210101,无锡,晴,5,-4,56,2,西风,2级,良,3.6,8.43,13.14,5.41,0.025,0.122,1.86,400.4,132.2,0.001,5227082.0
2021-01-02,20210102,无锡,多云-晴,7,-2,71,2,东北风,2级,良,4.4,8.32,11.96,4.27,0.063,0.071,2.06,420.6,65.2,0.001,2420536.0
2021-01-03,20210103,无锡,雾-多云,11,3,77,2,东风,3级,良,4.2,8.4,13.02,4.0,0.095,0.054,2.24,427.9,52.7,0.001,2537244.0
2021-01-04,20210104,无锡,阴-小雨,11,5,54,2,东风,3级,良,4.8,8.45,13.15,3.89,0.187,0.054,2.9,448.1,40.0,0.002,2447887.0
2021-01-05,20210105,无锡,阴,8,0,62,2,东北风,3级,良,5.6,8.41,12.65,-1.0,0.128,0.054,-1.0,410.7,40.0,0.001,2527340.0
2021-01-06,20210106,无锡,阴-多云,4,-7,58,2,北风,3级,良,5.4,8.34,12.77,4.25,0.048,0.058,1.73,408.0,54.3,0.001,3181530.0
2021-01-07,20210107,无锡,阴-多云,-4,-7,73,2,西北风,4级,良,5.0,8.39,12.74,3.86,0.116,0.045,2.36,425.9,59.4,0.001,3116855.0
2021-01-08,20210108,无锡,多云-晴,0,-7,52,2,西北风,3级,良,2.7,8.4,13.42,4.75,0.1,0.07,2.52,479.7,107.9,0.002,4584776.0
2021-01-09,20210109,无锡,晴,4,-5,59,2,西北风,3级,良,1.8,8.33,13.88,5.18,0.126,0.095,3.0,445.9,72.4,0.002,3203187.0
2021-01-10,20210110,无锡,阴-多云,5,-3,75,2,西北风,2级,良,1.9,8.35,14.14,4.36,0.122,0.06,2.56,447.3,49.1,0.002,2805879.0
2021-01-11,20210111,无锡,阴-晴,6,-3,79,2,西北风,3级,良,2.4,8.35,14.01,3.97,0.178,0.046,2.83,435.2,33.3,0.002,1508827.0
2021-01-12,20210112,无锡,晴,10,0,85,2,西南风,3级,良,2.5,8.4,14.35,4.68,0.134,0.076,2.95,466.8,72.0,0.005,4259980.0
2021-01-13,20210113,无锡,晴-多云,16,2,70,2,西南风,微风,良,2.9,8.4,14.24,4.31,0.103,0.06,-1.0,468.1,41.0,0.005,3238337.0
2021-01-14,20210114,无锡,多云-晴,17,2,89,2,东南风,2级,良,4.2,8.42,13.58,4.48,0.066,0.065,3.03,466.6,30.7,0.004,2792241.0
2021-01-15,20210115,无锡,晴-阴,18,1,105,3,西北风,3级,轻度,4.2,8.63,15.05,4.55,0.032,0.05,3.06,482.2,24.2,0.008,4140988.0
2021-01-16,20210116,无锡,阴-多云,5,-1,81,2,东北风,3级,良,5.0,8.55,13.98,4.65,0.062,0.054,3.02,466.1,45.1,0.004,3527519.0
2021-01-17,20210117,无锡,多云-晴,6,-2,67,2,西北风,2级,良,4.9,8.59,13.74,4.61,0.046,0.054,2.98,476.1,33.5,0.007,3871708.0
2021-01-18,20210118,无锡,晴,10,0,86,2,西南风,2级,良,4.8,8.66,13.9,4.24,0.034,0.039,2.61,464.6,36.8,0.006,4010250.0
2021-01-19,20210119,无锡,晴,12,3,86,2,东南风,3级,良,5.2,8.69,14.04,4.48,0.025,0.04,2.61,464.7,21.3,0.006,3502459.0
2021-01-20,20210120,无锡,多云-小雨,17,9,54,2,东南风,3级,良,5.5,8.73,13.81,4.86,0.025,0.049,2.56,452.4,48.2,0.006,4139487.0
2021-01-21,20210121,无锡,小雨,14,8,67,2,北风,2级,良,6.5,8.79,13.4,4.7,0.025,0.046,2.59,463.7,22.5,0.007,3876405.0
2021-01-22,20210122,无锡,中雨,10,6,79,2,东北风,微风,良,6.9,8.78,13.12,4.14,0.025,0.03,1.96,460.3,12.3,0.006,2857244.0
2021-01-23,20210123,无锡,小雨-多云,7,1,72,2,北风,3级,良,7.2,8.74,12.44,4.09,0.038,0.028,2.08,458.6,9.9,0.005,2764514.0
2021-01-24,20210124,无锡,多云-阴,8,6,109,3,东北风,2级,轻度,7.2,8.71,12.3,4.2,0.042,0.029,2.11,458.3,10.6,0.004,2631576.0
2021-01-25,20210125,无锡,阴-小雨,13,8,60,2,东南风,2级,良,7.3,8.69,12.18,4.38,0.049,0.025,2.07,459.3,7.5,0.003,2506970.0
2021-01-26,20210126,无锡,小雨-多云,7,3,56,2,西北风,3级,良,,,,,,,,,,,
2021-01-27,20210127,无锡,多云,10,4,77,2,东北风,2级,良,7.6,8.62,11.52,4.35,0.059,0.042,2.67,459.6,27.5,0.004,2998222.0
