date,time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,20210101,宜兴,雨夹雪-晴,4,-4,60,2,西南风,2级,良,3.7,7.52,12.57,4.45,0.025,0.124,1.31,390.5,158.6,0.003,6722100.0
2021-01-02,20210102,宜兴,多云-晴,7,-2,89,2,东南风,2级,良,3.7,7.48,12.63,3.85,0.025,0.093,-1.0,381.3,127.8,0.004,7647820.0
2021-01-03,20210103,宜兴,晴,9,4,93,2,东南风,3级,良,3.8,7.53,12.68,3.42,0.025,0.059,-1.0,415.8,79.7,0.003,8344820.0
2021-01-04,20210104,宜兴,阴-小雨,11,4,67,2,东风,2级,良,4.5,7.51,12.76,3.44,0.025,0.057,-1.0,414.3,72.6,0.003,3967430.0
2021-01-05,20210105,宜兴,阴,8,0,77,2,东北风,3级,良,5.3,7.52,12.62,3.25,0.025,0.048,-1.0,414.8,61.6,0.003,2977290.0
2021-01-06,20210106,宜兴,阴-多云,3,-7,67,2,北风,2级,良,5.5,7.49,12.36,4.08,0.036,0.085,-1.0,411.3,96.2,0.003,5498750.0
2021-01-07,20210107,宜兴,阴-多云,-3,-7,60,2,西北风,4级,良,5.1,7.48,12.22,3.84,0.138,0.114,1.33,424.5,97.4,0.003,4467670.0
2021-01-08,20210108,宜兴,多云,0,-7,58,2,西北风,3级,良,2.8,7.62,12.7,6.71,0.6,0.203,3.05,522.9,175.0,0.011,9520900.0
2021-01-09,20210109,宜兴,晴,4,-5,64,2,西风,2级,良,1.8,7.6,13.34,4.3,0.025,0.067,1.44,397.0,145.5,0.003,7876140.0
2021-01-10,20210110,宜兴,多云,6,-3,86,2,西北风,2级,良,2.0,7.56,13.32,3.96,-1.0,0.092,1.59,408.5,125.6,0.003,6037370.0
2021-01-11,20210111,宜兴,小雨-晴,6,-3,87,2,西风,3级,良,2.2,7.59,13.39,3.55,0.025,0.068,1.49,408.0,98.1,0.003,4785600.0
2021-01-12,20210112,宜兴,晴,11,0,83,2,西南风,3级,良,2.5,7.57,13.32,3.79,0.025,0.07,1.33,382.9,108.4,0.003,5260760.0
2021-01-13,20210113,宜兴,多云,15,2,79,2,西南风,2级,良,2.8,7.57,13.4,3.45,0.025,0.069,1.57,403.1,80.1,0.002,4437510.0
2021-01-14,20210114,宜兴,阴-晴,13,2,101,3,东南风,2级,轻度,4.0,7.3,13.13,3.44,0.03,0.065,1.32,402.2,61.8,0.003,3179560.0
2021-01-15,20210115,宜兴,晴-阴,18,1,134,3,西北风,微风,轻度,4.2,7.28,13.29,3.22,0.025,0.048,1.28,399.7,51.4,0.003,3386130.0
2021-01-16,20210116,宜兴,阴-多云,6,-1,70,2,东北风,3级,良,4.9,7.3,13.18,3.33,0.025,0.053,1.28,396.3,61.0,0.003,3268090.0
2021-01-17,20210117,宜兴,多云-晴,7,-2,75,2,西北风,2级,良,4.9,7.27,12.81,3.68,0.034,0.088,1.34,399.0,98.9,0.003,5297180.0
2021-01-18,20210118,宜兴,晴,11,0,89,2,西南风,2级,良,4.8,7.28,12.73,3.5,0.025,0.065,1.29,404.4,76.2,0.003,4184580.0
2021-01-19,20210119,宜兴,晴,10,4,105,3,东南风,3级,轻度,5.6,7.75,12.46,3.92,0.442,0.077,2.83,490.4,42.2,0.008,3004150.0
2021-01-20,20210120,宜兴,晴-小雨,14,10,60,2,东南风,3级,良,6.0,7.88,12.64,5.58,0.642,0.108,3.6,539.4,51.5,0.014,4861730.0
2021-01-21,20210121,宜兴,小雨,13,8,111,3,西北风,2级,轻度,6.9,7.79,11.81,4.69,0.402,0.119,3.54,600.0,61.6,0.011,4213100.0
2021-01-22,20210122,宜兴,中雨,10,6,106,3,东北风,2级,轻度,7.7,7.87,11.83,4.42,0.23,0.094,3.14,600.2,40.3,0.011,4078620.0
2021-01-23,20210123,宜兴,小雨-多云,7,2,86,2,北风,2级,良,7.8,7.81,11.31,4.27,0.216,0.088,3.15,613.3,35.2,0.011,3806300.0
2021-01-24,20210124,宜兴,多云-阴,6,5,137,3,东风,2级,轻度,7.4,7.83,11.41,3.76,0.216,0.08,2.81,546.8,34.9,0.007,2392510.0
2021-01-25,20210125,宜兴,小雨,10,8,81,2,东南风,2级,良,7.4,7.84,11.34,3.85,0.212,0.071,2.82,549.7,25.1,0.006,2101290.0
2021-01-26,20210126,宜兴,阴,6,3,85,2,西风,3级,良,,,,,,,,,,,
2021-01-27,20210127,宜兴,阴-多云,8,5,104,3,东风,2级,轻度,8.1,7.81,11.03,4.11,0.826,0.1,3.6,560.9,25.6,0.007,2129930.0
2021-01-28,20210128,宜兴,多云-晴,11,-3,112,3,西北风,3级,轻度,8.5,7.8,10.78,4.24,0.641,0.091,3.41,543.5,27.5,0.007,2945040.0
2021-01-29,20210129,宜兴,晴,8,1,72,2,东南风,微风,良,8.1,7.92,11.53,4.74,-1.0,0.104,2.67,497.4,66.7,0.008,4833700.0
2021-01-30,20210130,宜兴,多云,11,8,78,2,东南风,2级,良,7.6,7.85,11.65,4.53,-1.0,0.105,1.22,390.0,138.4,0.004,6218350.0
2021-01-31,20210131,宜兴,阴-小雨,15,8,90,2,西南风,1级,良,8.2,7.89,11.52,4.1,-1.0,0.086,2.07,453.4,73.8,0.007,5108750.0
