date,time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,20210101,溧水,阴-晴,4,-6,47,1,西南风,2级,优,,,,,,,,,,,
2021-01-02,20210102,溧水,多云-晴,8,-2,60,2,东风,2级,良,,,,,,,,,,,
2021-01-03,20210103,溧水,多云,10,0,69,2,东风,3级,良,,,,,,,,,,,
2021-01-04,20210104,溧水,阴-小雨,10,3,57,2,东北风,2级,良,,,,,,,,,,,
2021-01-05,20210105,溧水,阴,7,-1,73,2,东北风,3级,良,,,,,,,,,,,
2021-01-06,20210106,溧水,阴-多云,3,-7,54,2,北风,3级,良,,,,,,,,,,,
2021-01-07,20210107,溧水,多云,-3,-7,72,2,北风,4级,良,,,,,,,,,,,
2021-01-08,20210108,溧水,多云-晴,0,-7,49,1,西北风,3级,优,,,,,,,,,,,
2021-01-09,20210109,溧水,晴-多云,4,-6,48,1,西风,2级,优,,,,,,,,,,,
2021-01-10,20210110,溧水,多云-晴,4,-6,57,2,西北风,1级,良,,,,,,,,,,,
2021-01-11,20210111,溧水,阴-晴,6,-6,67,2,西风,3级,良,,,,,,,,,,,
2021-01-12,20210112,溧水,晴,10,1,79,2,西南风,4级,良,,,,,,,,,,,
2021-01-13,20210113,溧水,晴-多云,15,0,60,2,西南风,3级,良,,,,,,,,,,,
2021-01-14,20210114,溧水,多云-晴,19,0,64,2,南风,2级,良,,,,,,,,,,,
2021-01-15,20210115,溧水,多云,17,0,102,3,西北风,3级,轻度,,,,,,,,,,,
2021-01-16,20210116,溧水,阴,5,-2,83,2,东北风,3级,良,,,,,,,,,,,
2021-01-17,20210117,溧水,多云-晴,6,-3,66,2,西南风,2级,良,,,,,,,,,,,
2021-01-18,20210118,溧水,晴,11,-2,76,2,西南风,2级,良,,,,,,,,,,,
2021-01-19,20210119,溧水,晴-多云,11,1,81,2,东南风,微风,良,,,,,,,,,,,
2021-01-20,20210120,溧水,多云-小雨,16,8,64,2,东南风,2级,良,,,,,,,,,,,
2021-01-21,20210121,溧水,小雨,11,8,91,2,北风,微风,良,,,,,,,,,,,
2021-01-22,20210122,溧水,小雨,9,5,113,3,东北风,2级,轻度,,,,,,,,,,,
2021-01-23,20210123,溧水,小雨-多云,6,0,72,2,东北风,微风,良,,,,,,,,,,,
2021-01-24,20210124,溧水,多云-阴,8,6,98,2,东风,3级,良,,,,,,,,,,,
2021-01-25,20210125,溧水,阴-小雨,11,6,85,2,东南风,3级,良,,,,,,,,,,,
2021-01-26,20210126,溧水,小雨,5,2,106,3,西北风,3级,轻度,,,,,,,,,,,
2021-01-27,20210127,溧水,阴-晴,8,4,92,2,东风,微风,良,,,,,,,,,,,
2021-01-28,20210128,溧水,阴-晴,11,-4,100,2,西北风,3级,良,,,,,,,,,,,
2021-01-29,20210129,溧水,晴,10,-1,80,2,东南风,2级,良,,,,,,,,,,,
2021-01-30,20210130,溧水,多云,16,7,64,2,东南风,2级,良,,,,,,,,,,,
2021-01-31,20210131,溧水,阴-小雨,13,8,75,2,西南风,微风,良,,,,,,,,,,,
2021-02-01,20210201,溧水,小雨-多云,9,0,71,2,西南风,2级,良,,,,,,,,,,,
2021-02-02,20210202,溧水,晴-多云,7,2,95,2,东北风,3级,良,,,,,,,,,,,
2021-02-03,20210203,溧水,多云-晴,16,2,75,2,东南风,2级,良,,,,,,,,,,,
2021-02-04,20210204,溧水,晴-小雨,12,5,86,2,东北风,3级,良,,,,,,,,,,,
2021-02-05,20210205,溧水,小雨-多云,9,4,81,2,东南风,2级,良,,,,,,,,,,,
2021-02-06,20210206,溧水,多云-晴,16,4,68,2,西南风,2级,良,,,,,,,,,,,
2021-02-07,20210207,溧水,多云-阴,20,5,63,2,东北风,2级,良,,,,,,,,,,,
2021-02-08,20210208,溧水,阴-多云,9,-1,48,1,东北风,微风,优,,,,,,,,,,,
2021-02-09,20210209,溧水,阴,12,4,32,1,东南风,3级,优,,,,,,,,,,,
2021-02-10,20210210,溧水,阴-小雨,12,7,38,1,东风,2级,优,,,,,,,,,,,
2021-02-11,20210211,溧水,中雨-阴,10,8,34,1,东南风,3级,优,,,,,,,,,,,
2021-02-12,20210212,溧水,阴-多云,14,6,38,1,东南风,3级,优,,,,,,,,,,,
