date,time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,20210101,滨湖,晴,5,-4,54,2,西风,2级,良,,,,,,,,,,,
2021-01-02,20210102,滨湖,多云-晴,7,-2,66,2,东北风,2级,良,4.7,8.68,11.81,-1.0,0.025,-1.0,0.93,422.8,2.9,0.003,12873000.0
2021-01-03,20210103,滨湖,雾-多云,11,3,73,2,东风,3级,良,4.7,8.68,12.75,-1.0,0.025,-1.0,0.94,422.0,3.6,0.003,17498800.0
2021-01-04,20210104,滨湖,阴-小雨,11,5,58,2,东风,3级,良,5.1,8.68,13.41,-1.0,0.025,-1.0,0.97,418.9,3.9,0.004,5680080.0
2021-01-05,20210105,滨湖,阴,8,0,59,2,东北风,4级,良,6.1,8.67,12.8,4.77,0.025,0.037,0.91,419.3,3.5,0.004,4448150.0
2021-01-06,20210106,滨湖,阴-多云,4,-7,63,2,北风,3级,良,5.7,8.62,12.82,4.55,0.025,0.038,0.94,419.7,4.1,0.003,4956330.0
2021-01-07,20210107,滨湖,阴-多云,-4,-7,84,2,西北风,4级,良,,,,,,,,,,,
2021-01-08,20210108,滨湖,多云-晴,0,-7,59,2,西北风,4级,良,3.6,8.51,12.62,-1.0,-1.0,-1.0,-1.0,422.4,4.5,0.002,4110090.0
2021-01-09,20210109,滨湖,晴,4,-5,60,2,西北风,3级,良,2.7,8.36,11.42,-1.0,-1.0,-1.0,-1.0,430.6,3.5,0.002,6486470.0
2021-01-10,20210110,滨湖,阴-多云,5,-3,74,2,西北风,2级,良,2.5,8.42,11.87,4.49,-1.0,0.048,1.0,430.2,2.9,0.001,4588330.0
2021-01-11,20210111,滨湖,阴-晴,6,-3,83,2,西北风,3级,良,,,,,,,,,,,
2021-01-12,20210112,滨湖,晴,10,0,102,3,西南风,4级,轻度,3.3,8.4,12.51,4.5,0.025,0.042,0.95,427.9,3.5,0.001,4151280.0
2021-01-13,20210113,滨湖,晴-多云,16,2,72,2,南风,3级,良,3.9,8.36,12.18,4.49,0.025,0.035,0.91,429.9,2.4,0.001,5137540.0
2021-01-14,20210114,滨湖,多云-晴,17,2,86,2,东南风,2级,良,4.4,8.26,10.04,4.4,0.025,-1.0,0.86,431.8,1.8,0.007,10078200.0
