date,time,area,weather,max_temperature,min_temperature,aqi,aqiLevel,wind_direction,wind_power,aqiInfo,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,20210101,吴中,晴,5,-4,46,1,西风,2级,优,4.6,8.2,12.34,6.13,0.089,0.127,1.52,460.3,148.3,0.001,9183910.0
2021-01-02,20210102,吴中,晴-多云,7,-1,64,2,东北风,2级,良,4.8,8.07,11.42,5.08,0.061,0.027,1.12,427.8,87.9,0.001,1645330.0
2021-01-03,20210103,吴中,雾-多云,10,5,72,2,东风,3级,良,5.0,8.19,12.27,4.92,0.063,0.044,1.24,419.5,77.7,0.001,1643140.0
2021-01-04,20210104,吴中,阴-小雨,11,5,50,1,东风,3级,优,5.8,8.24,12.42,4.37,0.161,0.061,1.7,485.8,38.0,0.002,1013810.0
2021-01-05,20210105,吴中,阴,8,1,54,2,东北风,4级,良,6.1,8.25,12.4,4.29,0.155,0.045,1.74,469.4,27.0,0.002,840430.0
2021-01-06,20210106,吴中,阴,4,-6,50,1,北风,3级,优,6.3,8.24,12.29,5.03,0.148,0.075,1.76,477.2,65.2,0.002,1619920.0
2021-01-07,20210107,吴中,阴-多云,-4,-8,76,2,西北风,5级,良,6.0,8.18,12.08,4.63,0.095,0.068,1.31,433.3,99.4,0.001,2142190.0
2021-01-08,20210108,吴中,多云-晴,0,-7,48,1,西北风,4级,优,3.9,8.27,12.58,5.98,-1.0,-1.0,2.06,510.6,159.6,0.005,-1.0
2021-01-09,20210109,吴中,晴,4,-5,54,2,西北风,4级,良,2.8,8.26,13.02,6.13,0.104,0.025,1.95,510.7,141.7,0.003,1407170.0
2021-01-10,20210110,吴中,阴-多云,5,-3,66,2,西北风,2级,良,2.9,8.27,13.13,5.48,0.088,-1.0,1.52,474.8,83.7,0.004,-1.0
2021-01-11,20210111,吴中,阴-晴,6,-3,79,2,西北风,4级,良,3.3,8.36,13.27,5.3,0.075,0.005,2.33,508.9,48.1,0.009,-1.0
2021-01-12,20210112,吴中,晴,10,0,84,2,西南风,4级,良,3.5,8.3,13.16,5.91,0.128,0.018,2.15,475.5,77.2,0.005,845178.0
2021-01-13,20210113,吴中,晴,16,3,69,2,南风,3级,良,3.9,8.34,12.79,5.15,0.051,0.034,2.24,505.6,52.3,0.007,1896540.0
2021-01-14,20210114,吴中,多云-晴,17,4,92,2,东南风,微风,良,4.0,8.3,12.78,4.95,0.054,0.043,1.13,437.8,28.9,0.005,672276.0
2021-01-15,20210115,吴中,晴-多云,17,2,85,2,西北风,3级,良,5.1,8.32,12.93,4.56,0.064,0.046,1.36,454.8,26.6,0.004,897221.0
2021-01-16,20210116,吴中,阴,6,-1,73,2,东北风,4级,良,5.9,8.24,12.54,4.99,0.085,0.054,1.45,438.5,62.2,0.004,1129840.0
2021-01-17,20210117,吴中,晴,5,-2,57,2,北风,3级,良,5.8,8.26,12.29,5.32,0.068,0.053,1.54,454.4,-1.0,0.004,1351900.0
2021-01-18,20210118,吴中,晴,10,0,81,2,西南风,2级,良,5.8,8.25,12.12,5.23,0.278,0.05,2.46,464.0,48.1,0.003,825740.0
2021-01-19,20210119,吴中,晴,11,4,78,2,东南风,4级,良,6.0,8.26,12.09,4.92,0.306,0.045,2.14,437.3,31.5,0.002,407174.0
2021-01-20,20210120,吴中,多云-小雨,15,10,39,1,东南风,4级,优,6.6,8.21,11.94,5.54,0.301,0.099,2.27,438.7,73.1,0.002,1046580.0
2021-01-21,20210121,吴中,小雨-阴,16,9,50,1,北风,3级,优,7.7,-1.0,11.98,5.03,0.115,0.053,1.9,458.9,36.9,0.004,805998.0
2021-01-22,20210122,吴中,小雨,10,6,79,2,东北风,3级,良,8.5,-1.0,12.53,5.18,0.057,0.043,1.52,447.3,18.9,0.007,1278410.0
2021-01-23,20210123,吴中,小雨-多云,7,3,60,2,北风,3级,良,8.5,-1.0,11.77,4.75,0.047,0.038,1.14,431.9,15.8,0.005,801438.0
2021-01-24,20210124,吴中,阴-多云,11,4,122,3,东北风,2级,轻度,8.4,-1.0,11.6,4.88,0.086,0.04,1.4,435.4,21.0,0.005,856854.0
2021-01-25,20210125,吴中,阴-小雨,14,8,54,2,东南风,3级,良,8.6,-1.0,11.87,4.97,0.08,0.037,1.17,439.1,11.2,0.006,403102.0
2021-01-26,20210126,吴中,阴,7,5,58,2,西北风,3级,良,,,,,,,,,,,
