date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,45.95585632324219,216.9055938720703,186.09100341796875,0.014380445703864,0.0,0.0,0.0,0.0,448.9668340589851,216905593.8720703,24.099023714040715,0.0,0.25,-0.999999997772664,8759783.333333334,7399464.949320565,10120101.717346102,3.7,7.52,12.57,4.45,0.025,0.124,1.31,390.5,158.6,0.003,6722100.0
2021-01-02,50.1236686706543,227.54513549804688,184.8091278076172,0.1438722908496856,0.0,0.0,0.0,0.0,462.6218042671681,227545135.49804688,25.26680702302191,0.0,0.25,-0.9999999978384072,7334620.0,5546074.601405852,9123165.398594148,3.7,7.48,12.63,3.85,0.025,0.093,-1.0,381.3,127.8,0.004,7647820.0
2021-01-03,45.81788635253906,216.28050231933597,173.1100616455078,0.3177322149276733,0.0,0.0,0.0,0.0,435.5261825323105,216280502.31933597,23.99586334493425,0.0,0.25,-0.9999999977039268,5136341.666666667,3689354.603590767,6583328.729742567,3.8,7.53,12.68,3.42,0.025,0.059,-1.0,415.8,79.7,0.003,8344820.0
2021-01-04,20.345468521118164,96.44871520996094,55.23086929321289,0.1652411073446273,0.0,0.0,0.0,0.0,172.19029413163662,96448715.20996094,10.69816378917959,0.0,0.25,-0.9999999941924718,3622895.0,2938557.904018173,4307232.095981827,4.5,7.51,12.76,3.44,0.025,0.057,-1.0,414.3,72.6,0.003,3967430.0
2021-01-05,30.965219497680664,146.45005798339844,59.62032318115234,0.2464507073163986,0.0,0.0,0.0,0.0,237.28205136954784,146450057.98339844,16.244845252898003,0.0,0.375,-0.9999999957856064,3845083.3333333335,2955843.6350836456,4734323.031583021,5.3,7.52,12.62,3.25,0.025,0.048,-1.0,414.8,61.6,0.003,2977290.0
2021-01-06,10.198613166809082,47.70771026611328,16.17365264892578,0.0869782269001007,0.0,0.0,0.0,0.0,74.16695430874825,47707710.26611328,5.291192448801464,0.0,0.375,-0.9999999865169064,3924880.0,3191972.997803077,4657787.002196923,5.5,7.49,12.36,4.08,0.036,0.085,-1.0,411.3,96.2,0.003,5498750.0
2021-01-07,22.5374755859375,105.06686401367188,116.4044189453125,0.7961552143096924,0.0,0.0,0.0,0.0,244.8049137592316,116404418.9453125,12.84536263677809,0.0,0.25,-0.9999999959151148,8621175.0,6709198.740594843,10533151.259405157,5.1,7.48,12.22,3.84,0.138,0.114,1.33,424.5,97.4,0.003,4467670.0
2021-01-08,52.406620025634766,230.3445281982422,199.68637084960935,1.7907427549362185,0.0,0.0,0.0,0.0,484.22826182842255,230344528.1982422,25.394865049256214,0.0,0.25,-0.9999999979348584,10061341.666666666,9279913.176165553,10842770.15716778,2.8,7.62,12.7,6.71,0.6,0.203,3.05,522.9,175.0,0.011,9520900.0
2021-01-09,69.6924819946289,260.1973571777344,215.82736206054688,2.51891565322876,0.0,0.0,0.0,0.0,548.2361168861389,260197357.1777344,28.63093794716729,0.0,0.375,-0.9999999981759684,7300426.666666667,6764396.218412772,7836457.114920562,1.8,7.6,13.34,4.3,0.025,0.067,1.44,397.0,145.5,0.003,7876140.0
2021-01-10,50.35337448120117,224.3763427734375,163.91583251953125,1.836006999015808,0.0,0.0,0.0,0.0,440.4815567731857,224376342.7734375,24.726703974935745,0.0,0.25,-0.9999999977297576,5465925.0,4945179.220086115,5986670.779913885,2.0,7.56,13.32,3.96,-1.0,0.092,1.59,408.5,125.6,0.003,6037370.0
