date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,48.10612487792969,221.94705200195312,191.6495819091797,0.0,0.0,0.0,0.0,0.0,461.7027587890625,221947052.00195312,24.660783555772568,0.0,0.25,-0.9999999978341044,,,,,,,,,,,
2021-01-02,53.36717224121094,233.93991088867188,173.90931701660156,0.0,0.0,0.0,0.0,0.0,461.2164001464844,233939910.88867188,25.993323432074654,0.0,0.25,-0.9999999978318204,4.7,8.68,11.81,-1.0,0.025,-1.0,0.93,422.8,2.9,0.003,12873000.0
2021-01-03,48.34626007080078,222.5054473876953,172.56105041503906,0.0011395459296181,0.0,0.0,0.0,0.0,443.4138974194648,222505447.3876953,24.7227008713073,0.0,0.25,-0.9999999977447708,4.7,8.68,12.75,-1.0,0.025,-1.0,0.94,422.0,3.6,0.003,17498800.0
2021-01-04,18.653852462768555,87.9000473022461,21.1301212310791,0.0113598797470331,0.0,0.0,0.0,0.0,127.69538087584078,87900047.3022461,9.765409713611009,0.0,0.375,-0.9999999921688631,5.1,8.68,13.41,-1.0,0.025,-1.0,0.97,418.9,3.9,0.004,5680080.0
2021-01-05,34.91603088378906,164.80360412597656,55.12522888183594,0.0926253721117973,0.0,0.0,0.0,0.0,254.93748926371336,164803604.12597656,18.30121986154053,0.0,0.375,-0.9999999960774698,6.1,8.67,12.8,4.77,0.025,0.037,0.91,419.3,3.5,0.004,4448150.0
2021-01-06,11.434417724609377,53.20796585083008,15.843511581420898,0.0464580953121185,0.0,0.0,0.0,0.0,80.53235325217247,53207965.85083008,5.906834195057551,0.0,0.375,-0.9999999875826304,5.7,8.62,12.82,4.55,0.025,0.038,0.94,419.7,4.1,0.003,4956330.0
2021-01-07,16.617067337036133,76.99280548095703,143.2456817626953,0.6261957883834839,0.0,0.0,0.0,0.0,237.481750369072,143245681.7626953,15.846609552701317,0.0,0.25,-0.99999999578915,,,,,,,,,,,
2021-01-08,54.07709503173828,233.4634246826172,198.22561645507807,1.2466511726379397,0.0,0.0,0.0,0.0,487.01278734207153,233463424.6826172,25.801863723331028,0.0,0.25,-0.9999999979466658,3.6,8.51,12.62,-1.0,-1.0,-1.0,-1.0,422.4,4.5,0.002,4110090.0
2021-01-09,71.71886444091797,262.0041809082031,221.53651428222656,2.056016445159912,0.0,0.0,0.0,0.0,557.3155760765076,262004180.90820312,28.883129384782578,0.0,0.375,-0.9999999982056844,2.7,8.36,11.42,-1.0,-1.0,-1.0,-1.0,430.6,3.5,0.002,6486470.0
2021-01-10,49.89462661743164,222.35826110839844,175.5171661376953,1.5476694107055664,0.0,0.0,0.0,0.0,449.31772327423096,222358261.10839844,24.53451018863254,0.0,0.25,-0.9999999977744034,2.5,8.42,11.87,4.49,-1.0,0.048,1.0,430.2,2.9,0.001,4588330.0
2021-01-11,34.95856857299805,158.8032989501953,186.21804809570312,1.9847701787948608,0.0,0.0,0.0,0.0,381.96468579769135,186218048.09570312,20.470364212989807,0.0,0.25,-0.999999997381957,,,,,,,,,,,
2021-01-12,57.206050872802734,238.88873291015625,205.22325134277344,2.7508585453033447,0.0,0.0,0.0,0.0,504.06889367103577,238888732.91015625,26.23754159609477,0.0,0.25,-0.9999999980161444,3.3,8.4,12.51,4.5,0.025,0.042,0.95,427.9,3.5,0.001,4151280.0
2021-01-13,77.1465072631836,269.0206298828125,218.1051483154297,3.606527805328369,0.0,0.0,0.0,0.0,567.8788132667542,269020629.8828125,29.490455786387127,0.0,0.375,-0.9999999982390608,3.9,8.36,12.18,4.49,0.025,0.035,0.91,429.9,2.4,0.001,5137540.0
2021-01-14,70.47684478759766,260.7879638671875,220.06385803222656,4.145793437957764,0.0,0.0,0.0,0.0,555.4744601249695,260787963.8671875,28.51579671435886,0.0,0.375,-0.9999999981997372,4.4,8.26,10.04,4.4,0.025,-1.0,0.86,431.8,1.8,0.007,10078200.0
2021-01-15,60.12479782104492,243.8560791015625,163.11312866210938,2.8409464359283447,0.0,0.0,0.0,0.0,469.93495202064514,243856079.1015625,26.77945918507046,0.0,0.375,-0.999999997872046,,,,,,,,,,,
2021-01-16,42.92985916137695,188.4826202392578,90.3491668701172,1.7380092144012451,0.0,0.0,0.0,0.0,323.4996554851532,188482620.2392578,20.749401224984062,0.0,0.375,-0.9999999969088066,5.0,8.38,12.86,4.4,0.025,-1.0,0.82,427.2,4.8,0.002,3060260.0
2021-01-17,56.12491226196289,233.8121795654297,197.1262359619141,4.323796272277832,0.0,0.0,0.0,0.0,491.3871240615845,233812179.5654297,25.49870925479465,0.0,0.25,-0.9999999979649448,5.2,8.34,12.52,4.44,0.025,-1.0,-1.0,427.2,5.4,0.002,3879280.0
2021-01-18,82.63023376464844,276.45733642578125,233.36236572265625,7.016676425933838,0.0,0.0,0.0,0.0,599.4666123390198,276457336.42578125,29.93785111109416,0.0,0.375,-0.9999999983318504,5.2,8.34,12.48,4.62,0.025,0.044,0.9,428.1,4.1,0.002,3230440.0
2021-01-19,65.81208801269531,253.2781219482422,207.36712646484372,5.577244281768799,0.0,0.0,0.0,0.0,532.03458070755,253278121.9482422,27.522319740719265,0.0,0.25,-0.999999998120423,5.5,8.35,12.68,4.52,0.025,0.044,0.93,427.6,5.6,0.002,2052350.0
2021-01-20,83.11680603027344,277.31280517578125,212.8373870849609,6.242513179779053,0.0,0.0,0.0,0.0,579.5095114707947,277312805.17578125,30.118921332889133,0.0,0.375,-0.9999999982744028,5.8,8.34,12.58,4.5,0.025,0.038,0.84,427.0,4.2,0.002,1768140.0
2021-01-21,36.19934844970703,151.81719970703125,151.95852661132812,4.4374871253967285,0.0,0.0,0.0,0.0,344.41256189346313,151958526.61132812,16.39122660954793,0.0,0.25,-0.9999999970965054,7.4,8.34,11.68,4.44,0.025,0.032,0.7,428.2,3.3,0.003,5209450.0
2021-01-22,9.464332580566406,39.21031188964844,18.827550888061523,0.5695278644561768,0.0,0.0,0.0,0.0,68.07172322273254,39210311.88964844,4.293420447243585,0.0,0.375,-0.9999999853096126,7.7,8.27,10.75,4.45,0.025,0.03,0.76,428.9,1.2,0.004,3280960.0
2021-01-23,8.100411415100098,33.314605712890625,53.60932922363281,1.7477858066558838,0.0,0.0,0.0,0.0,96.77213215827942,53609329.22363281,5.7623937129974365,0.0,0.25,-0.9999999896664468,7.5,8.22,11.55,4.45,0.025,0.034,0.83,425.3,5.3,0.003,2836400.0
2021-01-24,29.612667083740234,121.18069458007812,18.454608917236328,0.6336895823478699,0.0,0.0,0.0,0.0,169.88166016340256,121180694.58007812,13.394111666414473,0.0,0.25,-0.9999999941135496,8.0,8.16,10.92,4.44,0.039,0.036,0.93,426.4,5.9,0.002,3041450.0
2021-01-25,19.614233016967773,79.44749450683594,44.889408111572266,1.648732304573059,0.0,0.0,0.0,0.0,145.59986793994904,79447494.50683594,8.644306911362541,0.0,0.375,-0.999999993131862,7.7,8.15,11.32,4.38,0.039,0.034,0.91,427.0,5.4,0.002,2139580.0
2021-01-26,10.810816764831545,43.40911483764648,18.99931526184082,0.7322622537612915,0.0,0.0,0.0,0.0,73.95150911808014,43409114.83764648,4.741872509320577,0.0,0.375,-0.9999999864776258,,,,,,,,,,,
2021-01-27,59.9264030456543,234.9400177001953,181.38040161132807,7.583158493041992,0.0,0.0,0.0,0.0,483.8299808502197,234940017.7001953,25.261873245239254,0.0,0.25,-0.9999999979331584,8.2,7.99,10.02,4.08,0.041,0.034,0.89,428.9,5.3,0.002,7756380.0
2021-01-28,44.56075668334961,177.4194793701172,152.04847717285156,6.699586868286133,0.0,0.0,0.0,0.0,380.7283000946045,177419479.3701172,18.968876944647896,0.0,0.25,-0.999999997373455,8.5,8.01,10.19,4.0,0.044,0.031,0.9,427.3,6.1,0.001,3861440.0
2021-01-29,96.11283111572266,294.1875915527344,239.37228393554688,13.489906311035156,0.0,0.0,0.0,0.0,643.1626129150391,294187591.5527344,31.188631693522137,0.0,0.375,-0.9999999984451832,8.2,8.06,10.77,4.2,0.066,0.044,1.05,431.1,11.6,0.001,2259310.0
2021-01-30,69.43064880371094,255.915771484375,235.42556762695312,13.293020248413086,0.0,0.0,0.0,0.0,574.0650081634521,255915771.484375,26.958083470662437,0.0,0.25,-0.999999998258037,7.6,8.08,11.18,4.15,0.042,0.037,1.02,427.7,10.0,0.001,2273430.0
2021-01-31,26.16903114318848,101.14430236816406,42.20790863037109,2.107569932937622,0.0,0.0,0.0,0.0,171.62881207466123,101144302.36816406,11.004081381691826,0.0,0.375,-0.9999999941734724,8.6,8.14,11.1,3.95,0.025,0.034,0.91,428.7,4.4,0.001,3227320.0
2021-02-01,6.425721645355225,24.592374801635746,19.778392791748047,1.0266423225402832,0.0,0.0,0.0,0.0,51.8231315612793,24592374.801635742,2.618414719899496,0.0,0.25,-0.999999980703598,8.8,8.04,10.85,4.04,0.025,0.032,0.8,428.4,3.1,0.001,3609260.0
2021-02-02,57.14625549316406,218.34445190429688,168.37203979492188,9.29875946044922,0.0,0.0,0.0,0.0,453.161506652832,218344451.90429688,23.22729916042752,0.0,0.375,-0.9999999977932812,8.6,7.88,9.58,4.04,0.025,0.036,0.87,426.6,8.7,0.001,3869090.0
2021-02-03,78.47982788085938,271.522705078125,224.21356201171875,13.570070266723633,0.0,0.0,0.0,0.0,587.7861652374268,271522705.078125,28.661403867933487,0.0,0.375,-0.999999998298701,8.6,8.2,11.43,4.14,0.025,0.036,0.94,424.7,10.3,0.001,6339370.0
2021-02-04,78.41236114501953,271.62530517578125,232.53494262695312,15.05677890777588,0.0,0.0,0.0,0.0,597.6293878555298,271625305.17578125,28.50761402977837,0.0,0.375,-0.9999999983267222,9.14,7.795,8.364,4.042,0.025,0.0312,0.735,427.615,4.013,0.00095,6209420.0
2021-02-05,17.788223266601562,66.06761932373047,101.72332000732422,6.28639030456543,0.0,0.0,0.0,0.0,191.86555290222168,101723320.00732422,10.604103300306532,0.0,0.25,-0.999999994788017,9.16,8.286,11.942,3.741,0.025,0.0376,0.801,427.189,11.979,0.00039,5233560.0
2021-02-06,83.9905014038086,279.7755126953125,239.2458038330078,17.040586471557617,0.0,0.0,0.0,0.0,620.0524044036865,279775512.6953125,29.19276958041721,0.0,0.375,-0.9999999983872332,8.97,8.268,11.887,3.802,0.025,0.0353,0.682,426.336,12.824,0.00044,5560590.0
