date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,53.98674392700195,230.5218505859375,194.7302398681641,0.0,0.0,0.0,0.0,0.0,479.2388343811035,230521850.5859375,25.613538953993057,0.0,0.25,-0.9999999979133578,2.7,7.49,12.44,5.0,0.025,0.059,-1.0,348.5,142.2,0.001,4089990.0
2021-01-02,66.36412811279297,252.8264312744141,150.49264526367188,0.0,0.0,0.0,0.0,0.0,469.6832046508789,252826431.2744141,28.09182569715712,0.0,0.375,-0.9999999978709052,4.3,7.49,12.22,4.28,0.025,0.053,-1.0,348.1,103.8,0.002,3602160.0
2021-01-03,51.42351150512695,225.75811767578125,185.16217041015625,0.0,0.0,0.0,0.0,0.0,462.34379959106445,225758117.67578125,25.08423529730903,0.0,0.25,-0.9999999978371074,4.5,7.49,12.13,3.58,0.025,0.034,-1.0,349.0,81.8,0.0005,2209660.0
2021-01-04,29.774677276611328,135.56375122070312,19.903318405151367,0.0,0.0,0.0,0.0,0.0,185.24174690246585,135563751.22070312,15.06263902452257,0.0,0.25,-0.9999999946016488,5.5,7.41,11.87,3.57,0.025,0.035,-1.0,351.4,84.1,0.002,2768570.0
2021-01-05,28.458890914916992,128.8302001953125,44.29155731201172,0.0,0.0,0.0,0.0,0.0,201.5806484222412,128830200.1953125,14.314466688368055,0.0,0.375,-0.9999999950392064,6.0,7.45,11.85,3.45,0.025,0.038,-1.0,350.3,80.4,0.001,2516530.0
2021-01-06,10.771650314331056,48.33629989624024,15.79710865020752,0.0,0.0,0.0,0.0,0.0,74.90505886077881,48336299.89624024,5.370699988471137,0.0,0.375,-0.9999999866497672,6.1,7.51,11.61,3.69,0.025,0.037,0.4,356.1,73.4,0.002,2484680.0
2021-01-07,19.41948890686035,86.82173919677734,120.73522186279295,0.0015150499530136,0.0,0.0,0.0,0.0,226.97796501638368,120735221.86279295,13.414856312537772,0.0,0.25,-0.999999995594286,5.5,7.51,11.61,3.24,0.025,0.035,0.44,362.1,61.4,0.002,2416220.0
2021-01-08,54.54862594604492,230.4290008544922,191.61227416992188,0.1735503524541854,0.0,0.0,0.0,0.0,476.7634513229132,230429000.8544922,25.58393894467089,0.0,0.25,-0.9999999979025238,2.5,7.51,12.36,5.16,0.025,0.075,-1.0,374.1,178.7,0.002,5401120.0
2021-01-09,69.32511901855469,256.1507873535156,221.2138671875,0.6758042573928833,0.0,0.0,0.0,0.0,547.3655778169632,256150787.3535156,28.386109232902527,0.0,0.375,-0.9999999981730674,1.2,7.51,12.97,5.4,-1.0,-1.0,-1.0,373.8,138.8,0.001,4136340.0
2021-01-10,52.46672439575195,224.5139617919922,173.84864807128906,0.6873371005058289,0.0,0.0,0.0,0.0,451.51667135953903,224513961.7919922,24.869624965720707,0.0,0.25,-0.9999999977852424,2.3,7.5,12.87,-1.0,-1.0,-1.0,-1.0,385.4,57.8,0.0005,1761080.0
2021-01-11,53.40833282470703,225.9793243408203,131.04864501953125,0.7379457354545593,0.0,0.0,0.0,0.0,411.1742479205132,225979324.3408203,25.02681984504064,0.0,0.375,-0.9999999975679412,3.5,7.51,12.85,-1.0,-1.0,-1.0,0.4,385.7,49.7,0.0005,1707950.0
2021-01-12,57.97444534301758,236.5211334228516,190.75823974609372,1.4443289041519165,0.0,0.0,0.0,0.0,486.6981474161148,236521133.4228516,26.119644946522182,0.0,0.25,-0.9999999979453384,2.9,7.51,12.64,-1.0,-1.0,0.027,0.39,383.2,67.7,0.001,2301790.0
2021-01-13,76.22310638427734,265.7517395019531,224.10504150390625,2.565915584564209,0.0,0.0,0.0,0.0,568.6458029747009,265751739.50195312,29.242869324154324,0.0,0.375,-0.999999998241436,3.5,7.49,12.47,-1.0,-1.0,0.024,0.4,381.2,41.2,0.001,1564720.0
2021-01-14,67.86964416503906,272.2432556152344,201.69435119628903,2.3852927684783936,0.0,0.0,0.0,0.0,544.1925437450409,272243255.6152344,29.984218094084,0.0,0.25,-0.9999999981624152,5.1,7.5,12.22,-1.0,-1.0,0.025,0.39,377.5,34.7,0.001,1637720.0
2021-01-15,56.74259567260742,232.3090057373047,174.31300354003906,2.207773208618164,0.0,0.0,0.0,0.0,465.5723781585693,232309005.7373047,25.566803614298504,0.0,0.25,-0.9999999978521062,5.9,7.48,12.71,2.76,0.025,0.022,0.37,377.2,33.1,0.001,1467270.0
2021-01-16,41.73378372192383,177.20993041992188,73.59319305419922,1.0742088556289673,0.0,0.0,0.0,0.0,293.6111160516739,177209930.41992188,19.57063572936588,0.0,0.375,-0.9999999965941344,6.6,7.52,12.54,3.5,0.025,0.026,0.37,377.5,55.6,0.001,2229490.0
2021-01-17,54.32650375366211,223.8396148681641,181.16505432128903,2.9874722957611084,0.0,0.0,0.0,0.0,462.31864523887634,223839614.8681641,24.539126952489216,0.0,0.25,-0.9999999978369896,5.8,7.58,12.34,2.88,0.025,0.022,0.27,382.9,32.9,0.001,1728020.0
2021-01-18,84.15438079833984,275.99200439453125,229.8664093017578,5.421535491943359,0.0,0.0,0.0,0.0,595.4343299865723,275992004.39453125,30.06338543362088,0.0,0.375,-0.9999999983205536,5.6,7.59,12.38,2.66,0.025,0.018,0.38,383.2,23.3,0.001,1228080.0
2021-01-19,62.746829986572266,243.57574462890625,189.076904296875,3.949440717697144,0.0,0.0,0.0,0.0,499.34891963005066,243575744.62890625,26.625144879023235,0.0,0.375,-0.9999999979973924,6.6,7.59,12.13,2.74,0.025,-1.0,0.37,383.8,19.6,0.001,1350780.0
2021-01-20,66.97393798828125,250.82408142089844,187.6579132080078,4.265758514404297,0.0,0.0,0.0,0.0,509.7216911315918,250824081.42089844,27.395369211832683,0.0,0.375,-0.9999999980381452,6.5,7.58,11.9,3.13,0.025,0.02,0.36,381.2,36.0,0.001,1758260.0
2021-01-21,43.1764030456543,176.09657287597656,61.80957794189453,1.5144723653793335,0.0,0.0,0.0,0.0,282.5970262289047,176096572.87597656,19.398011167844132,0.0,0.375,-0.9999999964613924,8.3,7.57,11.56,3.34,0.025,0.023,0.36,376.3,35.4,0.003,2123920.0
2021-01-22,7.558680534362793,30.42932510375977,18.45281982421875,0.4825500249862671,0.0,0.0,0.0,0.0,56.923375487327576,30429325.10375977,3.327419453197056,0.0,0.375,-0.999999982432525,9.1,7.62,11.56,3.11,0.025,0.023,0.38,373.7,36.3,0.003,2417440.0
2021-01-23,11.4457368850708,45.796661376953125,52.05977249145508,1.4847397804260254,0.0,0.0,0.0,0.0,110.78691053390504,52059772.49145508,5.619448079003228,0.0,0.25,-0.999999990973663,9.1,7.56,11.1,3.14,0.025,0.022,0.37,373.4,33.0,0.003,2570630.0
2021-01-24,15.97882843017578,63.44367980957031,18.326066970825195,0.5532727241516113,0.0,0.0,0.0,0.0,98.3018479347229,63443679.80957031,6.987823009490967,0.0,0.375,-0.9999999898272514,8.7,7.53,10.9,3.12,0.025,0.021,0.37,374.7,31.3,0.003,2584870.0
2021-01-25,26.49623107910156,104.49285125732422,65.33126831054688,2.1330835819244385,0.0,0.0,0.0,0.0,198.4534342288971,104492851.25732422,11.373307519488865,0.0,0.375,-0.9999999949610344,9.0,7.52,10.72,2.93,0.025,0.019,0.35,376.3,25.2,0.002,1670680.0
2021-01-26,10.21627712249756,39.928184509277344,18.735620498657227,0.6454228758811951,0.0,0.0,0.0,0.0,69.52550500631332,39928184.509277344,4.364751292599572,0.0,0.375,-0.9999999856167894,,,,,,,,,,,
2021-01-27,69.55433654785156,249.1826934814453,141.69366455078125,5.277827262878418,0.0,0.0,0.0,0.0,465.7085218429565,249182693.4814453,27.10054069095188,0.0,0.375,-0.9999999978527342,,,,,,,,,,,
2021-01-28,35.80022430419922,138.37908935546875,161.26036071777344,6.6266770362854,0.0,0.0,0.0,0.0,342.0663514137268,161260360.71777344,17.181520409054226,0.0,0.25,-0.9999999970765906,9.3,7.44,10.85,3.13,0.025,0.019,0.35,383.3,29.8,0.003,2166230.0
2021-01-29,96.9315185546875,293.9612121582031,247.8368988037109,13.57534408569336,0.0,0.0,0.0,0.0,652.3049736022949,293961212.1582031,31.153985341389973,0.0,0.375,-0.9999999984669748,8.8,7.5,10.84,4.08,0.025,0.028,0.46,386.7,54.0,0.003,2940490.0
