date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,50.45526123046875,224.82025146484372,190.5612335205078,0.0,0.0,0.0,0.0,0.0,465.8367462158203,224820251.46484372,24.980027940538196,0.0,0.25,-0.9999999978533252,2.2,8.31,10.3,4.5,0.049,0.069,1.12,420.3,70.8,0.015,6519130.0
2021-01-02,62.48207092285156,247.1948699951172,180.6522216796875,0.0,0.0,0.0,0.0,0.0,490.32916259765625,247194869.9951172,27.46609666612413,0.0,0.375,-0.9999999979605536,2.6,8.27,10.23,4.12,0.065,0.068,1.23,421.3,66.1,0.011,6477660.0
2021-01-03,51.19349670410156,226.64886474609372,178.20372009277344,0.0,0.0,0.0,0.0,0.0,456.0460815429688,226648864.74609372,25.183207194010414,0.0,0.25,-0.9999999978072392,,,,,,,,,,,
2021-01-04,6.979278087615967,32.16006088256836,16.41515350341797,0.0,0.0,0.0,0.0,0.0,55.554492473602295,32160060.88256836,3.573340098063151,0.0,0.375,-0.999999981999656,7.2,8.41,9.23,1.9,0.025,0.074,2.06,429.4,29.5,0.011,4454690.0
2021-01-05,33.9877815246582,157.05197143554688,86.05683898925781,0.0,0.0,0.0,0.0,0.0,277.0965919494629,157051971.43554688,17.450219048394096,0.0,0.25,-0.99999999639115,7.8,8.38,10.27,2.14,0.025,0.073,1.98,400.3,25.3,0.01,4137650.0
2021-01-06,12.881760597229004,58.79650115966797,45.96879196166992,0.0,0.0,0.0,0.0,0.0,117.6470537185669,58796501.15966797,6.532944573296441,0.0,0.25,-0.9999999914999996,7.0,8.36,10.29,2.67,0.025,0.071,2.01,394.9,27.2,0.009,4220390.0
2021-01-07,21.835039138793945,99.26048278808594,145.34048461914062,0.0,0.0,0.0,0.0,0.0,266.4360065460205,145340484.61914062,16.148942735460068,0.0,0.25,-0.9999999962467536,6.4,8.34,10.3,1.92,0.025,0.074,2.01,397.2,21.9,0.005,10296500.0
2021-01-08,56.51225662231445,235.8275146484375,194.89308166503903,0.0,0.0,0.0,0.0,0.0,487.232852935791,235827514.6484375,26.20305718315972,0.0,0.25,-0.9999999979475932,2.4,8.61,11.09,2.1,0.025,0.065,2.43,466.3,26.5,0.018,5974880.0
2021-01-09,75.64417266845703,264.7682189941406,220.28155517578125,0.1830284744501114,0.0,0.0,0.0,0.0,560.876975312829,264768218.99414065,29.39835450218784,0.0,0.375,-0.999999998217078,1.1,8.43,11.38,3.21,0.035,0.086,2.16,417.6,49.9,0.016,6506150.0
2021-01-10,41.92219161987305,188.71292114257807,157.47047424316406,0.3538511395454407,0.0,0.0,0.0,0.0,388.4594381451607,188712921.14257807,20.92878555589252,0.0,0.25,-0.9999999974257286,3.0,8.41,10.92,1.69,0.064,0.08,2.24,411.2,31.4,0.01,5127650.0
2021-01-11,36.119571685791016,161.03468322753906,175.8790283203125,0.6917242407798767,0.0,0.0,0.0,0.0,373.72500747442245,175879028.3203125,19.46525600883696,0.0,0.25,-0.9999999973242358,3.6,8.48,11.12,1.55,0.034,0.071,2.06,404.3,27.8,0.01,5080420.0
2021-01-12,57.4594612121582,236.6682891845703,197.3404235839844,1.202381253242493,0.0,0.0,0.0,0.0,492.6705552339554,236668289.1845703,26.162878659036423,0.0,0.25,-0.999999997970246,4.5,8.5,10.8,2.28,0.103,0.09,2.32,416.0,29.9,0.01,4867680.0
