date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-02,0.1025260016322135,-0.3308199942111969,,0.3693346083164215,-0.1800271719694137,-0.0248618777841329,1412.0,710.0,1208.0,1484.0,327.0,321.0,167.0,4.8,8.07,11.42,5.08,0.061,0.027,1.12,427.8,87.9,0.001,1645330.0
2021-01-03,0.1150752007961273,-0.2831010520458221,,0.4527802169322967,-0.1234007403254509,-0.0394522324204444,1473.0,823.0,1265.0,1594.0,310.0,324.0,208.0,5.0,8.19,12.27,4.92,0.063,0.044,1.24,419.5,77.7,0.001,1643140.0
2021-01-04,0.0020773410797119,-0.0053527201525866,0.0585766732692718,0.0164924878627061,0.0023952480405569,0.0016715752426534,6292.0,6225.0,6245.0,6271.0,6023.0,5263.0,3532.0,5.8,8.24,12.42,4.37,0.161,0.061,1.7,485.8,38.0,0.002,1013810.0
2021-01-05,0.0182462092489004,-0.0041979011148214,0.1415571272373199,0.0021878536790609,-0.0019105682149529,0.0063856961205601,6698.0,6642.0,6376.0,6613.0,6613.0,6690.0,5578.0,6.1,8.25,12.4,4.29,0.155,0.045,1.74,469.4,27.0,0.002,840430.0
2021-01-06,-0.0041731870733201,-0.0025400717277079,0.0221070293337106,0.0668915137648582,0.0213663838803768,-0.000349344976712,5723.0,5694.0,5775.0,5727.0,4980.0,2178.0,976.0,6.3,8.24,12.29,5.03,0.148,0.075,1.76,477.2,65.2,0.002,1619920.0
2021-01-07,-0.0266892928630113,-0.0081065893173217,0.0417182967066764,0.0463127605617046,0.0108018042519688,-0.0023035984486341,6280.0,6179.0,6655.0,6309.0,5632.0,3446.0,2137.0,6.0,8.18,12.08,4.63,0.095,0.068,1.31,433.3,99.4,0.001,2142190.0
2021-01-08,,,,,,,,,,,,,,3.9,8.27,12.58,5.98,-1.0,-1.0,2.06,510.6,159.6,0.005,-1.0
2021-01-09,,,,,,,,,,,,,,2.8,8.26,13.02,6.13,0.104,0.025,1.95,510.7,141.7,0.003,1407170.0
2021-01-10,0.1392694115638733,-0.2553191483020782,,0.1906449347734451,-0.1393813192844391,-0.0278063844889402,1416.0,840.0,1131.0,1497.0,571.0,525.0,323.0,2.9,8.27,13.13,5.48,0.088,-1.0,1.52,474.8,83.7,0.004,-1.0
2021-01-11,0.0633130967617034,-0.2419889569282531,1.6359561681747437,0.0657690316438674,-0.1541388779878616,-0.0434042550623416,1686.0,1029.0,1620.0,1839.0,902.0,738.0,523.0,3.3,8.36,13.27,5.3,0.075,0.005,2.33,508.9,48.1,0.009,-1.0
