date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,0.1560975611209869,0.1890625059604644,0.472471684217453,-0.0442700162529945,0.0930806621909141,0.0453172214329242,1038.0,1522.0,692.0,948.0,1663.0,1531.0,1229.0,2.7,7.49,12.44,5.0,0.025,0.059,-1.0,348.5,142.2,0.001,4089990.0
2021-01-02,,,,,,,,,,,,,,4.3,7.49,12.22,4.28,0.025,0.053,-1.0,348.1,103.8,0.002,3602160.0
2021-01-03,0.0674662664532661,0.1486643403768539,0.8858131766319275,-0.0171428564935922,0.0829559862613678,0.0145328715443611,1466.0,1978.0,1244.0,1424.0,2047.0,1933.0,1488.0,4.5,7.49,12.13,3.58,0.025,0.034,-1.0,349.0,81.8,0.0005,2209660.0
2021-01-04,-0.0331684090197086,0.0105017507448792,-0.0411648117005825,-0.000577034021262,0.0064889402128756,-0.0181397143751382,2544.0,2598.0,2819.0,2638.0,2601.0,2488.0,1961.0,5.5,7.41,11.87,3.57,0.025,0.035,-1.0,351.4,84.1,0.002,2768570.0
2021-01-05,0.0178414732217788,0.0089317113161087,-0.345108687877655,0.0183857455849647,0.0123117053881287,0.0061402255669236,7046.0,7173.0,6716.0,6960.0,6914.0,6450.0,4667.0,6.0,7.45,11.85,3.45,0.025,0.038,-1.0,350.3,80.4,0.001,2516530.0
2021-01-06,-0.0052526975050568,0.001215414260514,-0.0101323164999485,0.0572248212993145,0.0206633247435092,-0.0015723269898444,6985.0,7002.0,7081.0,7007.0,6244.0,2958.0,1454.0,6.1,7.51,11.61,3.69,0.025,0.037,0.4,356.1,73.4,0.002,2484680.0
2021-01-07,-0.0312523208558559,0.0005284215440042,-0.0030450669582933,0.0469194315373897,0.0167324896901845,0.0072270827367901,6620.0,6627.0,6946.0,6525.0,6033.0,3733.0,2247.0,5.5,7.51,11.61,3.24,0.025,0.035,0.44,362.1,61.4,0.002,2416220.0
2021-01-08,0.1413237899541854,0.1595576554536819,0.4117407202720642,-0.0307032018899917,0.083093911409378,0.0529440864920616,1064.0,1468.0,720.0,957.0,1561.0,1536.0,1215.0,2.5,7.51,12.36,5.16,0.025,0.075,-1.0,374.1,178.7,0.002,5401120.0
2021-01-09,0.0013245033333078,0.0936307609081268,,0.0018822264391928,0.0587588064372539,0.0104712042957544,1544.0,1863.0,1508.0,1512.0,1856.0,1748.0,1279.0,1.2,7.51,12.97,5.4,-1.0,-1.0,-1.0,373.8,138.8,0.001,4136340.0
2021-01-10,0.1102661564946174,0.1169329062104225,0.4268719255924225,-0.016319639980793,0.0650427043437957,0.0252225510776042,1382.0,1748.0,1053.0,1314.0,1806.0,1657.0,1307.0,2.3,7.5,12.87,-1.0,-1.0,-1.0,-1.0,385.4,57.8,0.0005,1761080.0
2021-01-11,0.003148614661768,0.0613550469279289,,-0.0068027209490537,0.0357898958027362,0.0065481760539114,1614.0,1825.0,1583.0,1593.0,1850.0,1754.0,1451.0,3.5,7.51,12.85,-1.0,-1.0,-1.0,0.4,385.7,49.7,0.0005,1707950.0
2021-01-12,0.1293310523033142,0.148257240653038,0.4671306908130646,-0.0103659825399518,0.0856698676943779,0.0263235736638307,1735.0,2339.0,1269.0,1646.0,2388.0,2273.0,1844.0,2.9,7.51,12.64,-1.0,-1.0,0.027,0.39,383.2,67.7,0.001,2301790.0
2021-01-13,0.0630733966827392,0.1463414579629898,0.7854137420654297,-0.094910591840744,0.0460574142634868,0.0277923438698053,980.0,1316.0,817.0,927.0,1592.0,1429.0,1245.0,3.5,7.49,12.47,-1.0,-1.0,0.024,0.4,381.2,41.2,0.001,1564720.0
2021-01-14,0.0908147394657135,0.1492597013711929,0.7489959597587585,0.0191625263541936,0.0988116413354873,0.0056764427572488,1063.0,1436.0,876.0,1051.0,1382.0,1303.0,1039.0,5.1,7.5,12.22,-1.0,-1.0,0.025,0.39,377.5,34.7,0.001,1637720.0
2021-01-15,0.0844793692231178,0.1255182772874832,0.568647563457489,-0.0273615643382072,0.0652948543429374,0.0247349832206964,1160.0,1493.0,932.0,1104.0,1577.0,1520.0,1285.0,5.9,7.48,12.71,2.76,0.025,0.022,0.37,377.2,33.1,0.001,1467270.0
2021-01-16,-0.0286982245743274,0.0252100843936204,-0.1323877125978469,0.0175752155482769,0.022450940683484,-0.0053590568713843,3248.0,3416.0,3477.0,3283.0,3298.0,2580.0,1780.0,6.6,7.52,12.54,3.5,0.025,0.026,0.37,377.5,55.6,0.001,2229490.0
