date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,0.2683473527431488,-0.4185303449630737,-0.7381113171577454,0.4918032884597778,-0.2550271451473236,-0.0098126670345664,1110.0,455.0,653.0,1132.0,155.0,84.0,62.0,,,,,,,,,,,
2021-01-02,0.1046770587563514,-0.4214437305927276,4.26881742477417,0.4398943185806274,-0.262845516204834,-0.0527060478925704,1339.0,545.0,1206.0,1488.0,212.0,208.0,103.0,4.7,8.68,11.81,-1.0,0.025,-1.0,0.93,422.8,2.9,0.003,12873000.0
2021-01-03,0.1281437128782272,-0.3595064580440521,4.631503105163574,0.3825665712356567,-0.2062839418649673,-0.0765714272856712,1212.0,571.0,1092.0,1413.0,255.0,278.0,130.0,4.7,8.68,12.75,-1.0,0.025,-1.0,0.94,422.0,3.6,0.003,17498800.0
2021-01-04,0.0001640419941395,-0.0038597355596721,0.0395024381577968,0.01218291092664,0.0018513292307034,0.0012286019045859,6112.0,6065.0,6095.0,6097.0,5919.0,5171.0,3537.0,5.1,8.68,13.41,-1.0,0.025,-1.0,0.97,418.9,3.9,0.004,5680080.0
2021-01-05,0.0225221812725067,0.0100159673020243,-0.752453625202179,0.0162114799022674,0.0122355511412024,0.0057513639330863,6820.0,6958.0,6445.0,6742.0,6736.0,6173.0,4642.0,6.1,8.67,12.8,4.77,0.025,0.037,0.91,419.3,3.5,0.004,4448150.0
2021-01-06,0.0008625647169537,0.0064406539313495,-0.0784482732415199,0.0560712963342666,0.023744598031044,0.004076961427927,7019.0,7110.0,6950.0,6962.0,6355.0,3259.0,1665.0,5.7,8.62,12.82,4.55,0.025,0.038,0.94,419.7,4.1,0.003,4956330.0
2021-01-07,0.0095502408221364,0.0005635616835206,-0.0085553657263517,0.0386961959302425,0.0139517672359943,0.0018561859615147,6207.0,6214.0,6067.0,6184.0,5751.0,3521.0,2210.0,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,3.6,8.51,12.62,-1.0,-1.0,-1.0,-1.0,422.4,4.5,0.002,4110090.0
2021-01-09,0.0894845351576805,-0.4115606844425201,4.009008884429932,0.4022038578987121,-0.2563358247280121,-0.0393391028046608,1221.0,509.0,1104.0,1321.0,217.0,185.0,119.0,2.7,8.36,11.42,-1.0,-1.0,-1.0,-1.0,430.6,3.5,0.002,6486470.0
2021-01-10,0.1158854141831398,-0.2712854743003845,9.39306354522705,0.183728814125061,-0.1543768644332885,-0.0590052530169487,1523.0,873.0,1358.0,1714.0,602.0,505.0,368.0,2.5,8.42,11.87,4.49,-1.0,0.048,1.0,430.2,2.9,0.001,4588330.0
2021-01-11,0.0256348252296447,-0.0212870072573423,0.3710021376609802,0.0006253908504731,-0.0135172996670007,-0.0079619726166129,4174.0,4000.0,4029.0,4241.0,3995.0,4002.0,3723.0,,,,,,,,,,,
2021-01-12,0.1397923827171325,-0.2401165217161178,-2.714016914367676,0.1412499994039535,-0.1363122165203094,-0.0500478148460388,1490.0,913.0,1243.0,1647.0,687.0,591.0,463.0,3.3,8.4,12.51,4.5,0.025,0.042,0.95,427.9,3.5,0.001,4151280.0
2021-01-13,0.2090330123901367,-0.49295774102211,-2.519051551818848,0.4963325262069702,-0.3347741067409515,-0.0735218524932861,901.0,306.0,683.0,1044.0,103.0,109.0,33.0,3.9,8.36,12.18,4.49,0.025,0.035,0.91,429.9,2.4,0.001,5137540.0
2021-01-14,0.0301974453032016,-0.3092019259929657,0.6502200961112976,0.1242015585303306,-0.1979978829622268,-0.0833587795495987,1501.0,792.0,1670.0,1774.0,617.0,462.0,221.0,4.4,8.26,10.04,4.4,0.025,-1.0,0.86,431.8,1.8,0.007,10078200.0
2021-01-15,0.1607142835855484,-0.4069952368736267,4.149108409881592,0.283993124961853,-0.2646678686141968,-0.1105527654290199,885.0,373.0,799.0,1105.0,208.0,210.0,114.0,,,,,,,,,,,
2021-01-16,0.0207422040402889,-0.0226283725351095,0.2591361999511719,0.0482265092432498,0.0017250486416742,-0.0128815453499555,3525.0,3369.0,3470.0,3617.0,3059.0,2289.0,1429.0,5.0,8.38,12.86,4.4,0.025,-1.0,0.82,427.2,4.8,0.002,3060260.0
2021-01-17,0.1303616464138031,-0.3111111223697662,1.5291261672973633,0.2183406054973602,-0.1834922879934311,-0.1172069832682609,1062.0,558.0,1034.0,1344.0,358.0,340.0,184.0,5.2,8.34,12.52,4.44,0.025,-1.0,-1.0,427.2,5.4,0.002,3879280.0
2021-01-18,0.1047957390546798,-0.4643377065658569,1.3809523582458496,0.3965844511985779,-0.311740905046463,-0.1057777777314186,1006.0,368.0,1008.0,1244.0,159.0,175.0,62.0,5.2,8.34,12.48,4.62,0.025,0.044,0.9,428.1,4.1,0.002,3230440.0
2021-01-19,0.1162015795707702,-0.3958472907543182,1.178699612617493,-0.0332261510193347,-0.3016350269317627,-0.1251049488782882,1042.0,451.0,1061.0,1340.0,482.0,249.0,152.0,5.5,8.35,12.68,4.52,0.025,0.044,0.93,427.6,5.6,0.002,2052350.0
