date,weather,max_temperature,min_temperature,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,wind_power_num,strong_wind,wind_north,weather_heavy_rain,temperature_high,weather_weight,weather_temp_index,NP_ratio,temp_oxygen_index,eutrophication_index,water_quality_index,nutrient_pollution_index,temp_ph_interaction,NH_TN_ratio,oxygen_saturation_index,nutrient_limitation,light_turbidity_index
2021-01-01,雨夹雪-晴,4,-4,3.7,7.52,12.57,4.45,0.025,0.124,1.31,390.5,158.6,0.003,6722100.0,45.95585632324219,216.9055938720703,186.09100341796875,0.014380445703864,0.0,0.0,0.0,0.0,448.9668340589851,216905593.8720703,24.099023714040715,0.0,0.25,-0.999999997772664,2.0,0,0,0,0,1.0,0.0,10.564516129032258,46.509,1.9613333333333334,182.846,0.0031000000000000003,27.823999999999998,0.019083969465648856,0.9494213485799101,0.124,0.006265664160401003
2021-01-02,多云-晴,7,-2,3.7,7.48,12.63,3.85,0.025,0.093,-1.0,381.3,127.8,0.004,7647820.0,50.1236686706543,227.54513549804688,184.8091278076172,0.1438722908496856,0.0,0.0,0.0,0.0,462.6218042671681,227545135.49804688,25.26680702302191,0.0,0.25,-0.9999999978384072,2.0,0,0,0,0,1.0,0.0,-10.75268817204301,46.731,0.981,167.75400000000002,0.0023250000000000002,27.676000000000002,-0.025,0.9539531927258763,-0.1388888888888889,0.007763975155279502
2021-01-03,晴,9,4,3.8,7.53,12.68,3.42,0.025,0.059,-1.0,415.8,79.7,0.003,8344820.0,45.81788635253906,216.280502319336,173.1100616455078,0.3177322149276733,0.0,0.0,0.0,0.0,435.5261825323105,216280502.319336,23.99586334493425,0.0,0.25,-0.9999999977039268,3.0,0,0,0,0,1.0,0.0,-16.949152542372882,48.184,0.8263333333333334,158.879,0.001475,28.614,-0.025,0.9602942250573651,-0.1388888888888889,0.012391573729863692
2021-01-04,阴-小雨,11,4,4.5,7.51,12.76,3.44,0.025,0.057,-1.0,414.3,72.6,0.003,3967430.0,20.345468521118164,96.44871520996094,55.23086929321289,0.1652411073446273,0.0,0.0,0.0,0.0,172.19029413163662,96448715.20996094,10.69816378917959,0.0,0.25,-0.9999999941924718,2.0,0,0,0,0,0.0,0.0,-17.543859649122805,57.42,0.8323333333333333,155.583,0.001425,33.795,-0.025,0.9845116416928321,-0.1388888888888889,0.013586956521739132
2021-01-05,阴,8,0,5.3,7.52,12.62,3.25,0.025,0.048,-1.0,414.8,61.6,0.003,2977290.0,30.965219497680664,146.45005798339844,59.62032318115234,0.2464507073163986,0.0,0.0,0.0,0.0,237.28205136954784,146450057.98339844,16.244845252898003,0.0,0.375,-0.9999999957856064,3.0,0,0,0,0,0.0,0.0,-20.833333333333332,66.886,0.766,151.336,0.0012000000000000001,39.855999999999995,-0.025,0.9944272337062788,-0.1388888888888889,0.01597444089456869
2021-01-06,阴-多云,3,-7,5.5,7.49,12.36,4.08,0.036,0.085,-1.0,411.3,96.2,0.003,5498750.0,10.198613166809082,47.70771026611328,16.17365264892578,0.0869782269001007,0.0,0.0,0.0,0.0,74.16695430874825,47707710.26611328,5.291192448801464,0.0,0.375,-0.9999999865169064,2.0,0,1,0,0,0.7,0.0,-11.76470588235294,67.97999999999999,1.055,164.11700000000002,0.00306,41.195,-0.036,0.979042618403677,-0.1388888888888889,0.0102880658436214
2021-01-07,阴-多云,-3,-7,5.1,7.48,12.22,3.84,0.138,0.114,1.33,424.5,97.4,0.003,4467670.0,22.5374755859375,105.06686401367188,116.4044189453125,0.7961552143096924,0.0,0.0,0.0,0.0,244.8049137592316,116404418.9453125,12.84536263677809,0.0,0.25,-0.9999999959151148,4.0,1,1,0,0,0.7,0.0,11.666666666666666,62.321999999999996,1.7613333333333332,168.554,0.015732000000000003,38.147999999999996,0.1037593984962406,0.9578748952318599,0.114,0.01016260162601626
2021-01-08,多云,0,-7,2.8,7.62,12.7,6.71,0.6,0.203,3.05,522.9,175.0,0.011,9520900.0,52.406620025634766,230.3445281982422,199.6863708496093,1.7907427549362185,0.0,0.0,0.0,0.0,484.22826182842255,230344528.1982422,25.39486504925621,0.0,0.25,-0.9999999979348584,3.0,0,1,0,0,0.7,0.0,15.02463054187192,35.559999999999995,3.3209999999999997,229.15599999999998,0.1218,21.336,0.19672131147540983,0.9362794630634182,0.203,0.005681818181818182
2021-01-09,晴,4,-5,1.8,7.6,13.34,4.3,0.025,0.067,1.44,397.0,145.5,0.003,7876140.0,69.6924819946289,260.1973571777344,215.82736206054688,2.51891565322876,0.0,0.0,0.0,0.0,548.2361168861389,260197357.1777344,28.63093794716729,0.0,0.375,-0.9999999981759684,2.0,0,0,0,0,1.0,0.0,21.492537313432834,24.012,1.9356666666666664,179.57999999999998,0.0016750000000000003,13.68,0.017361111111111112,0.9570242134468958,0.067,0.006825938566552901
2021-01-10,多云,6,-3,2.0,7.56,13.32,3.96,-1.0,0.092,1.59,408.5,125.6,0.003,6037370.0,50.35337448120117,224.3763427734375,163.91583251953125,1.836006999015808,0.0,0.0,0.0,0.0,440.4815567731857,224376342.7734375,24.726703974935745,0.0,0.25,-0.9999999977297576,2.0,0,1,0,0,0.7,0.0,17.282608695652176,26.64,1.8806666666666667,175.058,-0.092,15.12,-0.6289308176100629,0.9608377946032408,0.092,0.007898894154818327
2021-01-11,小雨-晴,6,-3,2.2,7.59,13.39,3.55,0.025,0.068,1.49,408.0,98.1,0.003,4785600.0,42.76046752929688,195.995361328125,154.63800048828125,1.9807548522949217,0.0,0.0,0.0,0.0,395.3745841979981,195995361.328125,21.557178497314453,0.0,0.25,-0.999999997470753,3.0,0,0,0,0,1.0,0.0,21.91176470588235,29.458000000000002,1.7026666666666666,163.917,0.0017000000000000001,16.698,0.016778523489932886,0.9711790960381423,0.068,0.010090817356205853
2021-01-12,晴,11,0,2.5,7.57,13.32,3.79,0.025,0.07,1.33,382.9,108.4,0.003,5260760.0,55.4030647277832,235.4852600097656,189.1873321533203,2.8055338859558105,0.0,0.0,0.0,0.0,482.88119077682495,235485260.0097656,25.85330290264553,0.0,0.25,-0.9999999979290972,3.0,0,0,0,0,1.0,0.0,19.0,33.3,1.7300000000000002,160.501,0.0017500000000000003,18.925,0.018796992481203006,0.9740275031555633,0.07,0.009140767824497258
