province,city,river,basin,section,monitor_time,quality,water_temp,ph,ph_l,dissolvedoxygen,dissolvedoxygen_l,codmn,codmn_l,nh3-n,nh3-n_l,tp,tn,conductivity,turbidity,chlorophyll,algal_density,section_status
吉林省,延边朝鲜族自治州,珲春河,松花江流域,三家子,2024-11-22 12:00:00,Ⅱ,5.86,7.4,-,11.649,-,1.987,-,0.0808,-,0.0219,1.037,110.477,7.391,,,正常
辽宁省,辽阳市,太子河,辽河流域,下王家,2024-11-22 12:00:00,Ⅰ,8.27123,8.19864,-,14.043,-,1.142,-,0.0506,-,0.0185,5.393,634.412,2.34695,,,正常
江苏省,扬州市,京杭大运河（里运河段）,淮河流域,大运河船闸(宝应船闸),2024-11-22 12:00:00,Ⅱ,14.58,8.123,-,9.824,-,3.285,-,0.1076,-,0.0751,1.247,645.8,96,,,正常
河北省,张家口市,洋河,海河流域,左卫桥,2024-11-22 12:00:00,Ⅲ,4.55,8.539812,-,11.34691,-,2.371,-,0.025,-,0.1111,5.2601,835.252,98.62779,,,正常
四川省,巴中市,巴河,长江流域,手傍岩,2024-11-22 12:00:00,Ⅱ,15.44,8.15,-,10.329,-,1.984,-,0.0719,-,0.0502,1.641,343.4,18.4,,,正常
河南省,新乡市,人民胜利渠,海河流域,新乡贾太湖,2024-11-22 12:00:00,Ⅱ,11.96,8.271,-,10.726,-,3.1826,-,0.19087,-,0.05128,3.8413,965.639,31.694,,,正常
海南省,三亚市,,珠江流域,林家村,2024-11-22 12:00:00,Ⅱ,26.85,6.91,-,8.56,-,1.44,-,0.025,-,0.039,1.326,119.46,25.79,,,正常
河北省,廊坊市,,海河流域,桑梓红旗闸,2024-11-22 12:00:00,Ⅳ,11.7,8.184605,-,8.518226,-,4.791,-,0.0691,-,0.20281,13.2191,799.383,181.3035,,,正常
山东省,烟台市,五龙河,淮河流域,桥头,2024-11-22 12:00:00,Ⅲ,12.836,8.5899,-,16.1688,-,4.724,-,0.0805,-,0.0706,18.41,1056.807,11.82,,,正常
山东省,济宁市,老运河,淮河流域,西石佛,2024-11-22 12:00:00,Ⅲ,14.629,8.023,-,9.106,-,4.091,-,0.044,-,0.033,2.539,1196.659,16.089,,,正常
湖北省,荆州市,长江,长江流域,观音寺,2024-11-22 12:00:00,Ⅱ,21.11,8.34,-,8.22,-,1.062,-,0.025,-,0.056,1.859,390.43,10.21,,,正常
江西省,吉安市,遂川江,长江流域,遂川江江口,2024-11-22 12:00:00,Ⅲ,17.13,7.138,-,8.862,-,1.53,-,0.2456,-,0.1231,0.8781,132.585,30.945,,,正常
四川省,成都市,岷江（内江）,长江流域,都江堰水文站,2024-11-22 12:00:00,Ⅰ,13.62,8.3208,-,9.571,-,0.25,-,0.025,-,0.005,0.621,261.82,8.84,,,正常
四川省,南充市,嘉陵江,长江流域,金溪电站,2024-11-22 12:00:00,Ⅱ,19.11,7.5977,-,7.127,-,2.088,-,0.025,-,0.0278,1.352,296.769,16.903,,,正常
河南省,南阳市,丹江口水库,长江流域,陶岔,2024-11-22 12:00:00,Ⅱ,18.24,8.0533,-,8.5589,-,1.4808,-,0.025,-,0.0125,1.1838,283.561,5.263,0.0032,832105,正常
陕西省,汉中市,嘉陵江,长江流域,鲁光坪,2024-11-22 12:00:00,Ⅰ,12,7.9536,-,10.1202,-,0.8757,-,0.0303,-,0.0198,1.3643,387.0751,21.5672,,,正常
天津市,蓟州区,于桥水库,海河流域,于桥水库库中心,2024-11-22 16:00:00,-3,10.34,8.066,-,8.733,-,,-,,-,0.0059,,496.72,0.8,0.01693,411405,维护
山东省,济宁市,泗河,淮河流域,兖州南大桥,2024-11-22 16:00:00,Ⅲ,14.462,8.396,-,11.867,-,4.6349,-,0.0283,-,0.0618,2.5177,1066.9,13.269,,,正常
辽宁省,沈阳市,蒲河,辽河流域,兴国桥,2024-11-22 16:00:00,-3,14.86,7.631,-,9.375,-,0.693,-,0.064,-,,,1000.92,1.232,,,维护
湖北省,黄石市,富水,长江流域,富池闸,2024-11-22 16:00:00,Ⅱ,16.82,7.273012,-,6.439586,-,3.030332,-,0.1874556,-,0.0673779,3.291,282.3994,95.68015,,,正常
云南省,普洱市,澜沧江,西南诸河,思茅港,2024-11-22 16:00:00,-3,,,-,,-,1.30291,-,0.025,-,0.0106,0.74311,,,,,维护
湖北省,武汉市,斧头湖,长江流域,江夏湖心,2024-11-22 16:00:00,Ⅲ,15.33,8.72,-,10.61,-,5.995,-,0.025,-,0.0444,0.546,248.885,16.84,0.02119,5101622,正常
河南省,南阳市,,长江流域,淅川高湾,2024-11-22 16:00:00,Ⅱ,13.97,8.2518,-,10.312,-,1.5179,-,0.025,-,0.0264,1.9961,415.879,11.2,0.0028,,正常
辽宁省,朝阳市,牤牛河,辽河流域,牤牛河大桥,2024-11-22 16:00:00,Ⅱ,8.84,8.353,-,12.491,-,0.81,-,0.025,-,0.0509,9.516,672.429,105.869,,,正常
江苏省,宿迁市,骆马湖,淮河流域,骆马湖乡,2024-11-22 16:00:00,Ⅲ,12.07,8.2847,-,13.5185,-,3.0169,-,0.0383,-,0.0357,1.7602,457.053,10.572,,,维护
四川省,绵阳市,鲁班水库,长江流域,鲁班岛,2024-11-22 16:00:00,Ⅱ,17.42652,7.92912,-,6.56556,-,1.32129,-,0.03846,-,0.02431,0.35264,311.162,5.08917,0.00443,4186765,正常
